SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,PREKINDERGARTEN_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,UNGRADED_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","08951","Moses Field Center","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","66","36","30","0","6","54","0","0","5","1","0","0","4","11","3","8","6","5","9","13","7","0","0","0","0","0","56","66","11"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02644","Mumford High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","889","458","431","2","0","878","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","267","301","173","148","0","766","154","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00858","Munger Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","968","474","494","0","0","188","712","0","64","4","0","0","81","109","112","84","107","118","127","112","118","0","0","0","0","0","784","111","611"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02669","Neinas Dual Language Learning Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","400","226","174","0","0","85","291","0","22","2","0","0","48","46","43","48","41","42","49","44","39","0","0","0","0","0","339","63","196"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02703","Nichols Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","291","156","135","2","0","281","1","0","5","2","0","0","41","29","30","26","38","32","32","26","37","0","0","0","0","0","251","36","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","06103","Noble Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","555","288","267","0","1","542","9","0","2","1","0","0","56","72","59","62","48","77","71","52","58","0","0","0","0","0","511","100","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02708","Nolan Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","449","225","224","2","0","444","2","1","0","0","0","0","47","50","56","58","48","50","62","52","26","0","0","0","0","0","425","30","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","358","190","168","1","0","347","4","0","5","1","0","0","0","0","0","0","0","0","0","0","0","106","107","83","62","0","316","98","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","407","227","180","0","3","399","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","85","130","92","100","0","374","90","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01552","Palmer Park Preparatory Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","425","226","199","2","2","380","1","1","32","7","0","0","37","41","31","23","50","34","53","78","78","0","0","0","0","0","310","54","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02969","Pasteur Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","312","167","145","0","0","309","0","0","3","0","0","0","44","58","34","58","41","50","27","0","0","0","0","0","0","0","276","72","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07633","Paul Robeson Malcolm X Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","395","218","177","0","0","392","2","1","0","0","0","0","48","49","45","39","52","48","42","42","30","0","0","0","0","0","346","27","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","408","239","169","1","1","404","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","120","111","99","78","0","362","83","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03123","Priest Elementary-Middle School","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","702","371","331","0","5","137","326","0","234","0","0","0","80","70","87","52","82","82","80","81","88","0","0","0","0","0","602","63","360"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03130","Pulaski Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","355","188","167","1","4","336","5","1","4","4","0","0","39","47","35","43","39","40","44","42","26","0","0","0","0","0","348","28","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02465","Randolph Career and Technical Center","82","Wayne","LEA Unique Education Provider","High School","City: Large","Wayne Region","         3","5","4","1","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","<10","<10","<10"
