SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,PREKINDERGARTEN_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,UNGRADED_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03717","Coleman A. Young Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","416","231","185","3","0","412","0","0","0","1","0","0","71","82","79","69","55","60","0","0","0","0","0","0","0","0","387","48","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","306","130","176","2","0","303","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","71","80","79","0","223","19","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00781","Cooke STEM Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","334","192","142","0","0","332","1","0","1","0","0","0","45","52","44","50","48","57","38","0","0","0","0","0","0","0","271","52","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00865","Crockett Midtown High School of Science and Medicine","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","206","72","134","0","17","175","5","0","8","1","0","0","0","0","0","0","0","0","0","0","0","47","37","50","72","0","171","18","30"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","134","72","62","1","1","131","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","27","48","27","32","0","118","20","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00880","Davison Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","739","398","341","0","275","433","5","0","17","9","0","0","75","86","83","67","94","92","77","85","80","0","0","0","0","0","697","71","260"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00902","Denby High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","537","296","241","0","1","535","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","163","135","144","95","0","471","117","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00039","Detroit International Academy for Young Women","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","225","0","225","0","41","123","0","2","58","1","0","0","12","17","13","13","16","21","14","20","13","23","26","22","15","0","200","<10","82"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","08925","Detroit Lions Academy","82","Wayne","LEA School","Middle School","City: Large","Wayne Region","         3","123","72","51","1","0","117","3","0","1","1","0","0","0","0","0","0","0","0","22","48","53","0","0","0","0","0","114","18","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","432","124","308","3","1","405","7","1","9","6","0","0","0","0","0","0","0","0","0","0","0","106","107","96","123","0","314","65","12"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09475","Diann Banks-Williamson Educational Center","82","Wayne","LEA School","Other","City: Large","Wayne Region","         3","99","65","34","0","0","93","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99","58","99","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00925","Dixon Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","509","287","222","1","0","500","4","1","3","0","0","0","53","49","45","55","35","61","61","77","73","0","0","0","0","0","476","67","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00939","Dossin Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","319","166","153","0","0","314","0","0","2","3","0","0","26","36","38","31","28","47","35","36","42","0","0","0","0","0","284","50","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04023","DPSCD Virtual School","82","Wayne","LEA School","Elem thru High School","Not Specified","Wayne Region","         3","348","171","177","1","1","315","23","0","7","1","0","0","1","19","25","18","33","48","33","28","23","27","31","37","25","0","271","49","25"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00975","Durfee Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","593","312","281","3","1","583","4","0","1","1","0","0","60","66","63","80","65","59","75","67","58","0","0","0","0","0","538","73","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00860","Earhart Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","910","517","393","0","0","253","567","0","84","6","0","0","67","72","75","80","103","86","136","138","153","0","0","0","0","0","750","125","389"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01189","East English Village Preparatory Academy at Finney","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","697","381","316","3","1","685","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","151","193","188","165","0","593","180","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01084","Edison Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","309","164","145","0","0","300","3","0","3","3","0","0","56","56","51","52","56","38","0","0","0","0","0","0","0","0","274","17","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03639","Edmonson Montessori","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","192","106","86","1","1","149","5","0","34","2","0","0","35","37","37","31","28","14","10","0","0","0","0","0","0","0","74","16","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03737","Edward ""Duke"" Ellington at Beckham","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","493","250","243","0","0","489","0","0","3","1","0","0","73","72","55","55","49","50","50","46","43","0","0","0","0","0","436","34","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01134","Emerson Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","519","273","246","2","0","508","3","0","4","2","0","0","52","74","56","66","51","52","44","70","54","0","0","0","0","0","465","75","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09121","Fisher Magnet Lower Academy","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","456","242","214","0","5","440","6","0","1","4","0","0","89","85","94","98","90","0","0","0","0","0","0","0","0","0","423","56","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09345","Fisher Magnet Upper Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","378","213","165","0","3","371","0","0","2","2","0","0","0","0","0","0","0","81","105","95","97","0","0","0","0","0","350","95","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07326","Foreign Language Immersion and Cultural Studies","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","652","300","352","0","0","638","9","0","5","0","0","0","76","77","78","84","86","76","71","53","51","0","0","0","0","0","516","41","10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","76","76","0","0","0","75","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","15","24","12","0","52","19","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01362","Gardner Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","282","155","127","0","1","237","6","0","35","3","0","0","40","53","54","39","56","40","0","0","0","0","0","0","0","0","251","11","89"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07581","Garvey Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","362","184","178","0","2","359","0","1","0","0","0","0","54","41","39","50","40","58","25","32","23","0","0","0","0","0","315","83","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00176","Golightly Education Center","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","351","169","182","0","0","347","2","0","2","0","0","0","51","40","40","40","42","38","34","39","27","0","0","0","0","0","285","45","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01438","Gompers Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","838","436","402","0","1","821","5","1","2","8","0","0","103","100","94","101","93","75","87","92","93","0","0","0","0","0","763","54","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01493","Greenfield Union Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","261","142","119","1","2","251","5","0","2","0","0","0","30","37","27","24","25","26","26","36","30","0","0","0","0","0","241","49","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09994","Hamilton Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","293","150","143","0","0","292","0","0","0","1","0","0","43","38","21","33","45","27","39","29","18","0","0","0","0","0","287","22","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01574","Harms Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","236","119","117","1","0","29","184","0","16","6","0","0","27","42","38","40","38","51","0","0","0","0","0","0","0","0","212","28","175"
