SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"19 - 20 School Year","82","Wayne RESA","82945","Detroit Edison Public School Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","1307","657","650","1","0","1283","9","0","3","11","0","101","82","103","93","93","107","129","90","113","95","116","102","83","876","51","<10"
"19 - 20 School Year","82","Wayne RESA","82979","Detroit Enterprise Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","743","404","339","0","2","727","1","0","1","12","0","92","83","81","79","93","91","77","80","67","0","0","0","0","706","88","<10"
"19 - 20 School Year","82","Wayne RESA","82739","Detroit Innovation Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","376","183","193","0","0","375","0","0","0","1","0","37","48","39","42","52","47","46","40","25","0","0","0","0","312","27","<10"
"19 - 20 School Year","82","Wayne RESA","82722","Detroit Leadership Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","715","394","321","0","0","691","9","0","7","8","0","51","51","50","53","52","52","41","46","28","73","79","69","69","672","84","<10"
"19 - 20 School Year","82","Wayne RESA","82974","Detroit Merit Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","751","366","385","1","0","708","16","0","3","23","0","104","83","82","84","87","84","87","68","72","0","0","0","0","684","72","<10"
"19 - 20 School Year","82","Wayne RESA","82985","Detroit Premier Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","722","346","376","2","4","679","17","0","7","13","0","94","101","89","86","74","77","81","59","61","0","0","0","0","698","58","<10"
"19 - 20 School Year","82","Wayne RESA","82704","Detroit Public Safety Academy","","All Buildings","82","Wayne","PSA District","Middle_High School","City: Large","229","129","100","0","0","225","0","0","1","3","0","0","0","0","0","0","0","2","8","20","45","42","55","57","223","53","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","50895","25969","24926","79","712","41792","6956","37","1259","60","0","4184","4529","4238","4238","4018","3842","3443","3538","3403","4223","3591","3499","3270","41480","7397","5808"
"19 - 20 School Year","82","Wayne RESA","82953","Detroit Service Learning Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","1316","669","647","0","2","1313","0","0","1","0","0","146","158","152","150","123","144","143","168","132","0","0","0","0","1304","136","<10"
"19 - 20 School Year","82","Wayne RESA","82763","Distinctive College Prep.","","All Buildings","82","Wayne","PSA District","Elementary","Suburb: Large","603","311","292","0","0","596","1","0","4","2","0","117","108","126","110","89","53","0","0","0","0","0","0","0","570","56","<10"
"19 - 20 School Year","82","Wayne RESA","82930","Dove Academy of Detroit","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","465","243","222","0","0","463","2","0","0","0","0","77","70","70","48","46","39","45","34","36","0","0","0","0","404","67","<10"
"19 - 20 School Year","82","Wayne RESA","82250","Ecorse Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","1098","593","505","0","2","861","100","0","128","7","0","95","88","64","74","73","75","69","57","73","88","104","112","126","931","126","75"
"19 - 20 School Year","82","Wayne RESA","82744","Escuela Avancemos","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","312","174","138","0","0","10","289","0","13","0","0","43","52","49","44","44","44","36","0","0","0","0","0","0","309","23","253"
"19 - 20 School Year","82","Wayne RESA","82997","Flagship Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","706","359","347","0","0","698","1","0","0","7","0","107","77","77","77","86","84","81","58","59","0","0","0","0","700","55","<10"
"19 - 20 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","1940","932","1008","4","17","100","130","0","1616","73","0","142","148","131","129","131","141","142","155","146","152","176","154","193","819","301","27"
"19 - 20 School Year","82","Wayne RESA","82987","Frontier International Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","832","400","432","0","255","91","2","0","484","0","0","49","56","56","40","49","35","0","0","0","160","126","133","128","824","38","515"
"19 - 20 School Year","82","Wayne RESA","82050","Garden City Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","3647","1936","1711","18","39","426","207","4","2824","129","0","269","229","224","223","232","222","260","252","211","287","380","379","344","2176","737","102"
"19 - 20 School Year","82","Wayne RESA","82937","George Crockett Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","432","235","197","0","0","432","0","0","0","0","0","49","54","53","52","46","43","46","54","35","0","0","0","0","432","64","<10"
"19 - 20 School Year","82","Wayne RESA","82963","George Washington Carver Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","516","262","254","0","0","512","0","0","3","1","0","68","62","50","59","80","46","49","40","62","0","0","0","0","516","48","<10"
"19 - 20 School Year","82","Wayne RESA","82290","Gibraltar School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","3656","1866","1790","4","67","214","277","4","2929","161","0","267","254","234","277","237","242","285","277","278","366","345","292","285","1158","532","77"
"19 - 20 School Year","82","Wayne RESA","82725","Global Heights Academy","","All Buildings","82","Wayne","PSA District","Elementary","Suburb: Large","254","108","146","0","0","203","8","0","35","8","0","43","42","49","42","41","37","0","0","0","0","0","0","0","252","31","31"
"19 - 20 School Year","82","Wayne RESA","82300","Grosse Ile Township Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","1781","887","894","8","43","24","98","0","1560","48","0","118","112","138","129","148","139","133","115","168","141","162","135","143","207","189","19"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","7477","3865","3612","28","133","1209","255","2","5527","323","0","569","453","470","482","464","502","535","547","581","642","666","672","751","1508","1005","80"
"19 - 20 School Year","82","Wayne RESA","82977","Hamtramck Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","541","249","292","0","406","50","3","2","76","4","0","52","59","56","63","65","65","60","62","59","0","0","0","0","530","30","338"
"19 - 20 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","3353","1942","1411","1","968","422","4","0","1921","37","0","239","262","239","262","238","240","218","253","246","358","272","251","275","2993","185","2162"
"19 - 20 School Year","82","Wayne RESA","82986","Hanley International Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","652","336","316","0","496","132","1","0","23","0","0","85","75","75","75","76","75","72","64","55","0","0","0","0","625","59","273"
"19 - 20 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","2464","1313","1151","1","5","2297","21","0","131","9","0","122","134","106","105","108","106","124","157","181","354","420","307","235","1828","261","<10"
"19 - 20 School Year","82","Wayne RESA","82926","Henry Ford Academy","","All Buildings","82","Wayne","PSA District","High School","City: Small","513","250","263","1","8","319","52","0","131","2","0","0","0","0","0","0","0","0","0","0","154","134","109","116","308","53","40"
"19 - 20 School Year","82","Wayne RESA","82749","Highland Park Public School Academy System","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","313","183","130","0","0","313","0","0","0","0","0","36","46","32","42","37","36","26","35","23","0","0","0","0","308","24","<10"
"19 - 20 School Year","82","Wayne RESA","82942","Hope Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","501","255","246","0","0","496","4","0","1","0","0","65","57","56","56","53","58","45","60","51","0","0","0","0","456","43","<10"
"19 - 20 School Year","82","Wayne RESA","82957","Hope of Detroit Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","1083","561","522","0","0","118","946","0","16","3","0","82","89","84","86","87","98","98","93","96","92","82","51","45","967","147","651"
"19 - 20 School Year","82","Wayne RESA","82340","Huron School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","2532","1309","1223","10","20","51","141","1","2209","100","0","168","164","178","174","180","203","221","204","168","227","238","209","198","832","405","36"
"19 - 20 School Year","82","Wayne RESA","82762","Inkster Preparatory Academy","","All Buildings","82","Wayne","PSA District","Elementary","Suburb: Large","186","92","94","0","0","165","9","0","2","10","0","41","35","37","38","24","11","0","0","0","0","0","0","0","165","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82767","Ivywood Classical Academy","","All Buildings","82","Wayne","PSA District","Elementary","Not Specified","131","68","63","0","0","7","7","0","108","9","0","37","18","27","17","23","9","0","0","0","0","0","0","0","25","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82728","Jalen Rose Leadership Academy","","All Buildings","82","Wayne","PSA District","High School","City: Large","420","227","193","1","1","417","0","0","0","1","0","0","0","0","0","0","0","0","0","0","130","111","96","83","380","59","<10"
"19 - 20 School Year","82","Wayne RESA","82958","Joy Preparatory Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","293","148","145","1","0","291","1","0","0","0","0","41","50","47","38","38","23","15","29","12","0","0","0","0","293","29","<10"
"19 - 20 School Year","82","Wayne RESA","82976","Keystone Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","700","355","345","0","7","99","44","0","503","47","0","109","82","81","72","76","76","78","59","67","0","0","0","0","280","55","37"
"19 - 20 School Year","82","Wayne RESA","82723","Legacy Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","751","381","370","1","0","732","4","0","2","12","0","81","84","81","90","84","90","75","87","79","0","0","0","0","738","63","<10"
"19 - 20 School Year","82","Wayne RESA","82090","Lincoln Park, School District of the City of","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","4938","2629","2309","23","34","614","2125","8","1857","277","156","429","416","373","419","358","420","378","372","341","334","399","300","298","4407","817","965"
"19 - 20 School Year","82","Wayne RESA","82095","Livonia Public Schools School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Small","14057","7250","6807","31","638","1349","707","0","10816","516","0","1077","1002","1028","991","979","928","1097","1062","1020","1073","1160","1158","1119","4314","1875","634"
"19 - 20 School Year","82","Wayne RESA","82747","MacDowell Preparatory Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","381","183","198","0","0","380","0","0","1","0","0","42","44","42","41","40","26","40","54","52","0","0","0","0","378","32","<10"
"19 - 20 School Year","82","Wayne RESA","82742","Madison-Carver Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","628","293","335","5","2","618","1","0","2","0","0","82","83","77","72","83","74","64","50","43","0","0","0","0","561","55","<10"
"19 - 20 School Year","82","Wayne RESA","82910","Martin Luther King, Jr. Education Center Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","447","226","221","0","1","443","2","0","0","1","0","77","67","56","49","44","39","30","45","40","0","0","0","0","384","14","<10"
