SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"19 - 20 School Year","82","Wayne RESA","82923","Chandler Park Academy","08915","Chandler Park Academy - Elementary","82","Wayne","PSA School","Elementary","Suburb: Large","972","499","473","1","0","970","1","0","0","0","0","163","145","166","160","168","170","0","0","0","0","0","0","0","928","41","<10"
"19 - 20 School Year","82","Wayne RESA","82923","Chandler Park Academy","09825","Chandler Park Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","692","308","384","0","0","692","0","0","0","0","0","0","0","0","0","0","0","0","0","0","237","166","160","129","642","29","<10"
"19 - 20 School Year","82","Wayne RESA","82923","Chandler Park Academy","08454","Chandler Park Academy - Middle School","82","Wayne","PSA School","Middle School","Suburb: Large","643","312","331","0","1","640","0","0","2","0","0","0","0","0","0","0","0","208","215","220","0","0","0","0","585","37","<10"
"19 - 20 School Year","82","Wayne RESA","82996","Clara B. Ford Academy (SDA)","09787","Clara B. Ford Academy (SDA)","82","Wayne","PSA School","Elem thru High School","Suburb: Large","127","0","127","0","1","65","7","0","52","2","0","0","0","0","0","0","0","8","6","12","22","31","29","19","127","47","<10"
"19 - 20 School Year","82","Wayne RESA","82919","Commonwealth Community Development Academy","08656","Commonwealth Community Development Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","186","80","106","0","0","186","0","0","0","0","0","23","19","19","28","19","20","22","16","20","0","0","0","0","174","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82741","Cornerstone Health and Technology School","01214","Cornerstone Health and Technology School","82","Wayne","PSA School","High School","City: Large","532","266","266","6","0","524","2","0","0","0","0","0","0","0","0","0","0","0","0","0","136","164","139","93","472","73","<10"
"19 - 20 School Year","82","Wayne RESA","82760","Cornerstone Jefferson-Douglass Academy","02782","Cornerstone Jefferson-Douglass Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","699","336","363","4","1","692","1","0","1","0","0","98","108","79","82","105","63","61","58","45","0","0","0","0","636","52","<10"
"19 - 20 School Year","82","Wayne RESA","82991","Covenant House Academy Detroit","09649","Covenant House Academy Detroit - Central Site","82","Wayne","PSA School","High School","City: Large","180","101","79","0","0","175","2","0","3","0","0","0","0","0","0","0","0","0","0","0","56","55","49","20","159","31","<10"
"19 - 20 School Year","82","Wayne RESA","82991","Covenant House Academy Detroit","09621","Covenant House Academy Detroit - East Site","82","Wayne","PSA School","High School","City: Large","177","87","90","1","0","175","0","0","1","0","0","0","0","0","0","0","0","0","0","0","46","50","34","47","171","18","<10"
"19 - 20 School Year","82","Wayne RESA","82991","Covenant House Academy Detroit","09624","Covenant House Academy Detroit - Southwest Site","82","Wayne","PSA School","High School","City: Large","161","80","81","2","0","105","47","0","6","1","0","0","0","0","0","0","0","0","0","0","56","47","27","31","152","35","<10"
"19 - 20 School Year","82","Wayne RESA","82969","Creative Montessori Academy","08853","Creative Montessori Academy","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","800","404","396","2","36","221","147","0","350","44","0","134","103","116","97","75","83","78","53","61","0","0","0","0","444","103","76"
"19 - 20 School Year","82","Wayne RESA","82230","Crestwood School District","00042","Crestwood Accelerated Program","82","Wayne","LEA School","Elementary","Suburb: Large","85","37","48","0","1","1","1","0","81","1","0","0","0","26","29","30","0","0","0","0","0","0","0","0","51","<10","12"
"19 - 20 School Year","82","Wayne RESA","82230","Crestwood School District","00833","Crestwood High School","82","Wayne","LEA School","High School","Suburb: Large","1381","732","649","2","5","78","34","0","1251","11","0","0","0","0","0","0","0","0","0","0","356","371","345","309","1002","101","310"
"19 - 20 School Year","82","Wayne RESA","82230","Crestwood School District","01669","Highview Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","460","240","220","0","1","29","7","0","419","4","0","82","86","83","86","123","0","0","0","0","0","0","0","0","392","46","189"
"19 - 20 School Year","82","Wayne RESA","82230","Crestwood School District","01680","Hillcrest Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","330","173","157","0","3","29","4","0","286","8","0","58","82","74","57","59","0","0","0","0","0","0","0","0","263","42","120"
"19 - 20 School Year","82","Wayne RESA","82230","Crestwood School District","02046","Kinloch Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","466","264","202","0","11","8","4","0","443","0","0","88","90","87","104","97","0","0","0","0","0","0","0","0","329","33","98"
"19 - 20 School Year","82","Wayne RESA","82230","Crestwood School District","03216","Riverside Middle School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","1148","605","543","0","6","66","29","0","1041","6","0","0","0","0","0","0","252","303","304","289","0","0","0","0","894","96","264"
"19 - 20 School Year","82","Wayne RESA","82947","David Ellis Academy","08670","David Ellis Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","272","133","139","0","0","272","0","0","0","0","0","28","34","34","33","36","22","22","26","37","0","0","0","0","251","22","<10"
"19 - 20 School Year","82","Wayne RESA","82994","David Ellis Academy West","09710","David Ellis Academy West","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","714","359","355","0","0","699","11","0","2","2","0","70","81","82","80","68","96","81","75","81","0","0","0","0","516","54","<10"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","00432","Bryant Middle School","82","Wayne","LEA School","Middle School","City: Small","843","424","419","0","11","29","25","2","775","1","0","0","0","0","0","0","0","247","309","287","0","0","0","0","440","54","167"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","00639","Charles A. Lindbergh Elementary School","82","Wayne","LEA School","Elementary","City: Small","333","177","156","1","8","8","14","0","301","1","0","67","52","48","58","50","58","0","0","0","0","0","0","0","104","22","49"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","00886","Dearborn High School","82","Wayne","LEA School","High School","City: Small","2056","1086","970","1","16","49","32","0","1958","0","159","0","0","0","0","0","0","0","0","0","568","502","463","523","1213","122","550"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","00086","Dearborn Magnet High School","82","Wayne","LEA School","High School","Suburb: Large","33","24","9","1","0","2","3","0","27","0","0","0","0","0","0","0","0","0","0","0","4","13","9","7","23","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","02425","Dearborn STEM Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","170","107","63","0","3","1","1","0","165","0","0","0","0","0","0","0","0","60","57","53","0","0","0","0","70","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","00977","Duvall Elementary School","82","Wayne","LEA School","Elementary","City: Small","248","123","125","1","8","14","11","0","209","5","0","44","41","37","47","30","49","0","0","0","0","0","0","0","107","20","38"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","01092","Edsel Ford High School","82","Wayne","LEA School","High School","City: Small","1540","827","713","2","24","90","38","0","1379","7","79","0","0","0","0","0","0","0","0","0","480","355","344","361","948","117","520"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","01261","Fordson High School","82","Wayne","LEA School","High School","City: Small","2636","1426","1210","0","10","34","17","0","2574","1","114","0","0","0","0","0","0","0","0","0","759","683","594","600","2143","129","1131"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","09529","Geer Park Elementary","82","Wayne","LEA School","Elementary","City: Small","409","196","213","0","8","26","6","0","367","2","0","80","68","70","64","67","60","0","0","0","0","0","0","0","273","32","234"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","01637","Haigh Elementary School","82","Wayne","LEA School","Elementary","City: Small","528","278","250","0","2","11","16","0","499","0","0","99","78","91","88","83","89","0","0","0","0","0","0","0","252","40","162"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","09775","Henry Ford Early College","82","Wayne","LEA School","High School","City: Small","250","78","172","0","12","12","13","0","211","2","250","0","0","0","0","0","0","0","0","0","53","50","47","100","133","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","02712","Henry Ford Early College-Advanced Manufacturing","82","Wayne","LEA School","High School","City: Small","262","149","113","0","3","7","4","0","247","1","262","0","0","0","0","0","0","0","0","0","106","52","38","66","171","<10","45"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","01635","Henry Ford Elementary School","82","Wayne","LEA School","Elementary","City: Small","762","411","351","0","6","8","6","0","742","0","0","127","99","117","136","154","129","0","0","0","0","0","0","0","639","63","559"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","01974","Howard Elementary School","82","Wayne","LEA School","Elementary","City: Small","407","214","193","1","5","3","4","1","393","0","0","72","71","63","66","64","71","0","0","0","0","0","0","0","159","24","98"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","06384","Howe Trainable Center and Montessori","82","Wayne","LEA School","Elem thru High School","Suburb: Large","266","151","115","0","13","10","5","0","237","1","0","21","28","24","30","21","18","7","0","6","14","9","14","19","133","144","54"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","07818","Iris Becker Elementary School","82","Wayne","LEA School","Elementary","City: Small","240","124","116","0","0","0","2","0","238","0","0","28","36","38","43","52","43","0","0","0","0","0","0","0","219","15","157"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","05396","Long Elementary School","82","Wayne","LEA School","Elementary","City: Small","263","151","112","0","4","26","18","2","209","4","0","30","45","43","47","47","51","0","0","0","0","0","0","0","177","41","46"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","04837","Lowrey Elementary School","82","Wayne","LEA School","Elementary","City: Small","618","334","284","0","2","4","2","0","610","0","0","100","91","86","109","107","125","0","0","0","0","0","0","0","542","26","360"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","05850","Lowrey Middle School","82","Wayne","LEA School","Middle School","City: Small","525","255","270","0","3","2","4","0","514","2","0","0","0","0","0","0","0","174","183","168","0","0","0","0","451","23","258"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","02356","Maples Elementary School","82","Wayne","LEA School","Elementary","City: Small","583","296","287","1","4","2","0","0","576","0","0","110","91","89","90","100","103","0","0","0","0","0","0","0","500","46","390"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","09400","McCollough Elementary School","82","Wayne","LEA School","Elementary","City: Small","487","245","242","0","2","5","5","0","475","0","0","88","67","61","82","92","97","0","0","0","0","0","0","0","419","38","334"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","02460","McDonald Elementary School","82","Wayne","LEA School","Elementary","City: Small","333","163","170","0","5","1","3","0","322","2","0","72","47","52","60","57","45","0","0","0","0","0","0","0","291","33","256"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","02567","Miller Elementary School","82","Wayne","LEA School","Elementary","City: Small","626","309","317","0","3","2","0","0","620","1","0","103","99","96","107","116","105","0","0","0","0","0","0","0","549","64","462"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","04541","Nowlin Elementary School","82","Wayne","LEA School","Elementary","City: Small","230","129","101","0","1","10","19","1","197","2","0","50","34","30","46","32","38","0","0","0","0","0","0","0","144","59","58"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","02813","Oakman Elementary School","82","Wayne","LEA School","Elementary","City: Small","265","141","124","0","1","0","0","0","264","0","0","61","43","30","53","29","49","0","0","0","0","0","0","0","250","22","174"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","03206","River Oaks Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","374","201","173","0","4","36","7","0","327","0","0","65","53","54","67","55","80","0","0","0","0","0","0","0","309","34","189"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","09251","Salina Elementary P - 3","82","Wayne","LEA School","Elementary","City: Small","416","212","204","0","6","6","1","0","403","0","0","119","109","102","86","0","0","0","0","0","0","0","0","0","362","28","311"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","03383","Salina Intermediate 4 - 8","82","Wayne","LEA School","Elem_Middle School","City: Small","535","289","246","0","6","5","3","0","521","0","0","0","0","0","0","92","95","113","111","124","0","0","0","0","474","46","373"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","02793","Smith Middle School","82","Wayne","LEA School","Middle School","City: Small","561","281","280","2","5","71","43","0","436","4","0","0","0","0","0","0","0","178","186","197","0","0","0","0","319","69","109"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","00954","Snow Elementary School","82","Wayne","LEA School","Elementary","City: Small","400","211","189","1","9","28","26","2","332","2","0","69","61","63","69","70","68","0","0","0","0","0","0","0","246","56","116"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","04088","Stout Middle School","82","Wayne","LEA School","Middle School","City: Small","860","480","380","2","6","33","25","1","792","1","0","0","0","0","0","0","0","261","278","321","0","0","0","0","664","85","356"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","09408","Unis Middle School","82","Wayne","LEA School","Middle School","City: Small","633","309","324","0","4","7","3","0","619","0","0","0","0","0","0","0","0","222","200","211","0","0","0","0","555","39","307"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","04514","Whitmore-Bolles Elementary School","82","Wayne","LEA School","Elementary","City: Small","313","162","151","2","6","40","18","0","244","3","0","79","47","58","46","40","43","0","0","0","0","0","0","0","193","50","70"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","04536","William Ford Elementary School","82","Wayne","LEA School","Elementary","City: Small","637","333","304","0","4","2","7","3","620","1","0","120","109","105","90","104","109","0","0","0","0","0","0","0","553","38","438"
"19 - 20 School Year","82","Wayne RESA","82030","Dearborn City School District","05847","Woodworth Middle School","82","Wayne","LEA School","Middle School","City: Small","938","482","456","0","5","8","4","0","921","0","0","0","0","0","0","0","0","321","313","304","0","0","0","0","807","91","531"
"19 - 20 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","04950","Annapolis High School","82","Wayne","LEA School","High School","Suburb: Large","746","370","376","7","2","196","80","1","440","20","0","0","0","0","0","0","0","0","0","0","210","168","181","187","555","87","42"
"19 - 20 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","00249","Bedford School","82","Wayne","LEA School","Elementary","Suburb: Large","423","203","220","6","3","124","66","0","207","17","0","92","67","70","55","69","70","0","0","0","0","0","0","0","352","69","37"
"19 - 20 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","00430","Dearborn Heights Virtual Academy","82","Wayne","LEA School","High School","Suburb: Large","18","13","5","0","1","2","1","0","14","0","0","0","0","0","0","0","0","0","0","0","1","7","4","6","13","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","02810","Oakley W. Best Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","633","327","306","8","1","135","91","0","377","21","0","0","0","0","0","0","0","205","221","207","0","0","0","0","533","72","67"
"19 - 20 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","02943","Pardee School","82","Wayne","LEA School","Elementary","Suburb: Large","351","183","168","2","1","55","37","0","243","13","0","67","54","43","76","56","55","0","0","0","0","0","0","0","290","54","44"
"19 - 20 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","05357","Polk Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","351","162","189","4","1","42","50","0","238","16","0","68","53","51","71","58","50","0","0","0","0","0","0","0","310","34","76"
"19 - 20 School Year","82","Wayne RESA","82929","Detroit Academy of Arts and Sciences","08489","Detroit Academy of Arts and Sciences","82","Wayne","PSA School","Elementary","City: Large","694","358","336","0","0","690","1","0","0","3","0","104","107","117","127","125","114","0","0","0","0","0","0","0","670","38","<10"
"19 - 20 School Year","82","Wayne RESA","82929","Detroit Academy of Arts and Sciences","08945","Detroit Academy of Arts and Sciences Middle School","82","Wayne","PSA School","Middle School","City: Large","365","172","193","1","0","362","0","0","0","2","0","0","0","0","0","0","0","112","121","132","0","0","0","0","355","29","<10"
"19 - 20 School Year","82","Wayne RESA","82700","Detroit Achievement Academy","01968","Detroit Achievement Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","185","88","97","0","0","178","1","0","6","0","0","21","22","26","23","26","24","19","24","0","0","0","0","0","167","17","<10"
"19 - 20 School Year","82","Wayne RESA","82700","Detroit Achievement Academy","03032","Detroit Prep","82","Wayne","PSA School","Elementary","City: Large","213","103","110","0","6","128","6","0","58","15","0","55","47","36","47","28","0","0","0","0","0","0","0","0","133","17","<10"
"19 - 20 School Year","82","Wayne RESA","82764","Detroit Collegiate High School","03180","Detroit Collegiate High School","82","Wayne","PSA School","High School","City: Large","105","57","48","1","0","103","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","28","47","13","96","28","<10"
"19 - 20 School Year","82","Wayne RESA","82925","Detroit Community Schools","09619","Detroit Community Schools - Elementary","82","Wayne","PSA School","Elem_Middle School","City: Large","386","199","187","1","1","381","3","0","0","0","0","23","37","44","40","49","38","48","46","61","0","0","0","0","370","24","<10"
"19 - 20 School Year","82","Wayne RESA","82925","Detroit Community Schools","08456","Detroit Community Schools - High School","82","Wayne","PSA School","High School","City: Large","321","165","156","0","0","318","2","0","0","1","0","0","0","0","0","0","0","0","0","0","86","93","74","68","302","35","<10"
"19 - 20 School Year","82","Wayne RESA","82945","Detroit Edison Public School Academy","08651","Detroit Edison Public School Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","911","448","463","1","0","891","9","0","1","9","0","101","82","103","93","93","107","129","90","113","0","0","0","0","657","38","<10"
"19 - 20 School Year","82","Wayne RESA","82945","Detroit Edison Public School Academy","02736","Detroit Edison Public School Academy - High School","82","Wayne","PSA School","High School","City: Large","396","209","187","0","0","392","0","0","2","2","0","0","0","0","0","0","0","0","0","0","95","116","102","83","219","13","<10"
"19 - 20 School Year","82","Wayne RESA","82979","Detroit Enterprise Academy","09462","Detroit Enterprise Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","743","404","339","0","2","727","1","0","1","12","0","92","83","81","79","93","91","77","80","67","0","0","0","0","706","88","<10"
"19 - 20 School Year","82","Wayne RESA","82739","Detroit Innovation Academy","01170","Detroit Innovation Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","376","183","193","0","0","375","0","0","0","1","0","37","48","39","42","52","47","46","40","25","0","0","0","0","312","27","<10"
"19 - 20 School Year","82","Wayne RESA","82722","Detroit Leadership Academy","02222","Detroit Leadership Academy High School","82","Wayne","PSA School","High School","City: Large","290","155","135","0","0","275","7","0","6","2","0","0","0","0","0","0","0","0","0","0","73","79","69","69","272","40","<10"
"19 - 20 School Year","82","Wayne RESA","82722","Detroit Leadership Academy","00334","Detroit Leadership Academy K-8","82","Wayne","PSA School","Elem_Middle School","City: Large","424","239","185","0","0","415","2","0","1","6","0","51","51","50","53","52","52","41","46","28","0","0","0","0","399","44","<10"
"19 - 20 School Year","82","Wayne RESA","82974","Detroit Merit Charter Academy","09102","Detroit Merit Charter Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","751","366","385","1","0","708","16","0","3","23","0","104","83","82","84","87","84","87","68","72","0","0","0","0","684","72","<10"
"19 - 20 School Year","82","Wayne RESA","82985","Detroit Premier Academy","09600","Detroit Premier Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","722","346","376","2","4","679","17","0","7","13","0","94","101","89","86","74","77","81","59","61","0","0","0","0","698","58","<10"
"19 - 20 School Year","82","Wayne RESA","82704","Detroit Public Safety Academy","02015","Detroit Public Safety Academy","82","Wayne","PSA School","Middle_High School","City: Large","229","129","100","0","0","225","0","0","1","3","0","0","0","0","0","0","0","2","8","20","45","42","55","57","223","53","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00005","A.L. Holmes Academy of Blended Learning","82","Wayne","LEA School","Elem_Middle School","City: Large","445","218","227","0","1","443","0","0","1","0","0","42","63","50","54","47","57","44","43","45","0","0","0","0","391","68","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03645","Academy of the Americas at Logan","82","Wayne","LEA School","Elementary","Not Specified","428","204","224","1","0","15","402","0","10","0","0","106","113","103","106","0","0","0","0","0","0","0","0","0","313","33","299"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03276","Academy of The Americas High School","82","Wayne","LEA School","Elem thru High School","City: Large","662","334","328","0","0","20","633","0","9","0","0","0","0","0","0","93","79","96","108","103","59","47","42","35","500","62","540"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00103","Ann Arbor Trail Magnet School","82","Wayne","LEA School","Elem_Middle School","City: Large","229","122","107","0","0","222","3","0","4","0","0","30","25","23","23","22","33","24","21","28","0","0","0","0","203","23","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00168","Bagley Elementary School of Journalism and Technology","82","Wayne","LEA School","Elem_Middle School","City: Large","397","201","196","1","0","396","0","0","0","0","0","57","70","59","58","57","51","45","0","0","0","0","0","0","334","44","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03640","Barton Elementary School","82","Wayne","LEA School","Elementary","Not Specified","165","91","74","0","0","163","0","0","2","0","0","32","32","20","32","28","21","0","0","0","0","0","0","0","152","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02882","Bates Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","759","329","430","7","0","750","1","1","0","0","0","68","72","74","79","84","92","104","104","82","0","0","0","0","325","39","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00865","Benjamin Carson High School of Science and Medicine","82","Wayne","LEA School","High School","City: Large","344","149","195","1","29","259","2","8","42","3","0","0","0","0","0","0","0","0","0","0","87","75","102","80","304","24","68"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00277","Bennett Elementary School","82","Wayne","LEA School","Elementary","City: Large","474","237","237","2","0","16","401","0","54","1","0","79","78","69","95","74","79","0","0","0","0","0","0","0","383","28","274"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02058","Blackwell Institute","82","Wayne","LEA School","Elem_Middle School","City: Large","326","165","161","0","0","325","0","0","1","0","0","48","43","44","45","29","39","25","27","26","0","0","0","0","268","21","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04319","Bow Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","552","276","276","0","0","546","4","0","1","1","0","56","74","56","78","64","62","48","68","46","0","0","0","0","484","61","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02461","Breithaupt Career and Technical Center","82","Wayne","LEA Unique Education Provider","High School","City: Large","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09341","Brenda Scott Academy for Theatre Arts","82","Wayne","LEA School","Elem_Middle School","City: Large","700","334","366","0","2","685","7","0","6","0","0","75","68","81","75","85","71","79","81","85","0","0","0","0","622","73","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09991","Brewer Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","548","286","262","0","0","544","4","0","0","0","0","59","61","56","54","51","54","78","65","70","0","0","0","0","476","67","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00446","Bunche Preparatory Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","503","255","248","11","0","456","5","0","9","22","0","60","52","59","70","51","45","60","57","49","0","0","0","0","439","107","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00456","Burns Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","361","189","172","1","0","358","0","0","2","0","0","42","43","43","40","34","43","35","51","30","0","0","0","0","321","27","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00468","Burton International Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","602","304","298","1","0","573","27","0","1","0","0","54","79","59","74","67","54","66","71","78","0","0","0","0","463","72","26"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","05553","Carleton Elementary School","82","Wayne","LEA School","Elementary","City: Large","374","197","177","0","0","372","0","0","2","0","0","74","68","66","68","52","46","0","0","0","0","0","0","0","335","44","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00542","Carstens Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","309","174","135","0","0","307","1","0","1","0","0","40","49","33","36","31","22","34","34","30","0","0","0","0","274","26","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00546","Carver STEM Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","425","235","190","0","0","361","36","2","26","0","0","54","56","51","47","52","35","49","48","33","0","0","0","0","369","39","22"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00554","Cass Technical High School","82","Wayne","LEA School","High School","City: Large","2357","845","1512","6","222","1875","194","5","53","2","0","0","0","0","0","0","0","0","0","0","714","592","533","518","1670","26","241"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00617","Central High School","82","Wayne","LEA School","High School","City: Large","269","169","100","0","0","264","2","0","3","0","0","0","0","0","0","0","0","0","0","0","61","77","65","66","239","49","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00859","Charles R. Drew Transition Center","82","Wayne","LEA School","Other","City: Large","496","335","161","0","3","467","14","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","256","496","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09125","Charles Wright Academy of Arts and Science","82","Wayne","LEA School","Elementary","City: Large","525","272","253","0","0","515","1","1","4","4","0","75","101","87","114","73","75","0","0","0","0","0","0","0","468","67","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00689","Chrysler Elementary School","82","Wayne","LEA School","Elementary","City: Large","128","51","77","0","0","125","3","0","0","0","0","24","18","25","22","20","19","0","0","0","0","0","0","0","56","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07500","Clippert Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","479","237","242","0","0","4","459","0","16","0","0","0","0","0","0","0","17","156","156","150","0","0","0","0","397","28","316"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","595","354","241","1","1","578","6","0","9","0","0","0","0","0","0","0","0","0","0","0","147","136","144","168","531","181","<10"
