"county","district","school","min_grade","max_grade","total","p_amind","p_asian","p_black","p_hisp","p_white","p_mult","p_unreported","county_total","county_amind","county_asian","county_black","county_hisp","county_white","county_mult","district_total","district_amind","district_asian","district_black","district_hisp","district_white","district_mult","ell","ell_county","ell_dist","frpm","frpm_county","frpm_dist","swd_dist.x","swd_county.x","swd_dist.y","swd_county.y"
"Alameda","Oakland Unified","Urban Montessori Charter","K","9",390,0.00512820512820513,0.0666666666666667,0.207692307692308,0.302564102564103,0.274358974358974,0.143589743589744,0,210508,0.00266498185342125,0.291338096414388,0.0935403880137572,0.359729796492295,0.173575351055542,0.0662730157523705,47918,0.0023164572811887,0.117868024541926,0.220188655620018,0.485496055761927,0.0999624358278726,0.0517968195667599,0.161538461538462,0.195774032340814,0.304687173922117,0.284615384615385,0.42871054781766,0.736737760340582,0.119,0.118,0.119,0.118
"Alameda","Oakland Unified","Yu Ming Charter","K","9",541,0.00184842883548983,0.489833641404806,0.0905730129390018,0.0683918669131238,0.0924214417744917,0.255083179297597,0.00184842883548983,210508,0.00266498185342125,0.291338096414388,0.0935403880137572,0.359729796492295,0.173575351055542,0.0662730157523705,47918,0.0023164572811887,0.117868024541926,0.220188655620018,0.485496055761927,0.0999624358278726,0.0517968195667599,0.088724584103512,0.195774032340814,0.304687173922117,0.186691312384473,0.42871054781766,0.736737760340582,0.119,0.118,0.119,0.118
"Contra Costa","West Contra Costa Unified","Summit Public School K2","7","12",553,0.0054249547920434,0.0741410488245931,0.151898734177215,0.594936708860759,0.0650994575045208,0.0904159132007233,0.0180831826401447,164786,0.00314953940261915,0.141328753656257,0.088278130423701,0.391058706443509,0.289527022926705,0.0710982729115337,29401,0.00258494609026904,0.106288901738036,0.141321723750893,0.592598891194177,0.106084827046699,0.0491479881636679,0.189873417721519,0.158120228660202,0.303493078466719,0.698010849909584,0.405635187455245,0.701574776368151,0.133,0.129,0.133,0.129
"Contra Costa","West Contra Costa Unified","Summit Public School: Tamalpais","7","11",495,0.00202020202020202,0.0808080808080808,0.119191919191919,0.701010101010101,0.0404040404040404,0.0484848484848485,0.00808080808080808,164786,0.00314953940261915,0.141328753656257,0.088278130423701,0.391058706443509,0.289527022926705,0.0710982729115337,29401,0.00258494609026904,0.106288901738036,0.141321723750893,0.592598891194177,0.106084827046699,0.0491479881636679,0.24040404040404,0.158120228660202,0.303493078466719,0.688888888888889,0.405635187455245,0.701574776368151,0.133,0.129,0.133,0.129
"Los Angeles","Los Angeles Unified","Citizens of the World Charter School Hollywood","K","9",459,0,0.176470588235294,0.037037037037037,0.318082788671024,0.411764705882353,0.0544662309368192,0.00217864923747277,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.163398692810458,0.173454616213539,0.191676593236677,0.433551198257081,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
"Los Angeles","Los Angeles Unified","Citizens of the World Charter School Mar Vista","K","9",595,0.00168067226890756,0.053781512605042,0.13109243697479,0.4,0.32436974789916,0.0823529411764706,0.00672268907563025,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.092436974789916,0.173454616213539,0.191676593236677,0.428571428571429,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
"Los Angeles","Los Angeles Unified","Valley Charter Middle","6","8",280,0,0.0142857142857143,0.0357142857142857,0.753571428571429,0.164285714285714,0.0214285714285714,0.0107142857142857,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.185714285714286,0.173454616213539,0.191676593236677,0.625,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
"Los Angeles","Pasadena Unified","Odyssey Charter","K","9",470,0,0.025531914893617,0.1,0.297872340425532,0.427659574468085,0.148936170212766,0,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,16420,0.00225334957369062,0.0557856272838002,0.113154689403167,0.590133982947625,0.195006090133983,0.0382460414129111,0.0319148936170213,0.173454616213539,0.124786845310597,0.278723404255319,0.704419783624895,0.639951278928136,0.152,0.134,0.152,0.134
"Los Angeles","Los Angeles Unified","City Language Immersion Charter","K","9",393,0.00254452926208651,0.0203562340966921,0.175572519083969,0.608142493638677,0.165394402035623,0.0203562340966921,0.00763358778625954,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.193384223918575,0.173454616213539,0.191676593236677,0.450381679389313,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
"Los Angeles","Los Angeles Unified","High Tech LA","10","12",351,0.0056980056980057,0.0199430199430199,0.0284900284900285,0.327635327635328,0.564102564102564,0.0313390313390313,0.0227920227920228,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.0313390313390313,0.173454616213539,0.191676593236677,0.387464387464387,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
