"school","district","total","amind","asian","black","hisp","white","mult","ecdis","lep","swd","d_total","d_amind","d_asian","d_black","d_hisp","d_white","d_mult","d_ecdis","d_lep","d_swd","ls","cty_total","cty_amind","cty_asian","cty_black","cty_hisp","cty_white","cty_mult","cty_ecdis","cty_lep","cty_swd","ls_cty"
"Nashville Classical","Metro Nashville Public Schools",503,0.03,3e-04,0.646,0.087,0.254,0.123,0.376,0.03,0.131,78220,0.0245741498338021,0.0287787279468167,0.399284914344158,0.291254691894656,0.264034326259269,0.317429941191511,0.411640769624137,0.263060815648172,0.123620225006392,0.223920838563959,259691,0.0277601072043313,0.0303576300295351,0.214133585684525,0.169418481965105,0.564333284557416,0.20691848003974,0.244731434666585,0.131268711661167,0.119296305994432,0.403339372688096
"Valor Flagship Academy","Metro Nashville Public Schools",1197,0.00417710944026733,0.063,0.178,0.212,0.543,0.223,0.287,0.193,0.101,78220,0.0245741498338021,0.0287787279468167,0.399284914344158,0.291254691894656,0.264034326259269,0.317429941191511,0.411640769624137,0.263060815648172,0.123620225006392,0.197630151210876,259691,0.0277601072043313,0.0303576300295351,0.214133585684525,0.169418481965105,0.564333284557416,0.20691848003974,0.244731434666585,0.131268711661167,0.119296305994432,0.0312198624512204
"Valor Voyager Academy","Metro Nashville Public Schools",537,0.00931098696461825,3e-04,0.186,0.304,0.466,0.318,0.281,0.311,0.121,78220,0.0245741498338021,0.0287787279468167,0.399284914344158,0.291254691894656,0.264034326259269,0.317429941191511,0.411640769624137,0.263060815648172,0.123620225006392,0.130034408752623,259691,0.0277601072043313,0.0303576300295351,0.214133585684525,0.169418481965105,0.564333284557416,0.20691848003974,0.244731434666585,0.131268711661167,0.119296305994432,0.0893593898722688
