"school","total","amind","asian","black","hisp","white","mult","frpl","ell","sped","ls_dist","district","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_frpl","dist_ell","dist_swd"
"Lead Academy",403,0.00744416873449132,0.00744416873449132,0.446650124069479,0.285359801488834,0.208436724565757,0.0446650124069479,0.627791563275434,0.215880893300248,0.168734491315136,0.228289842626132,"Greenville 01",77342,0.00368493186108453,0.026117762664529,0.228039099066484,0.188228905381293,0.507641385017196,0.0462879160094127,0.601109358433969,0.140932481704637,0.143699412996819
"Liberty STEAM Charter 
School",188,0,0.00531914893617021,0.457446808510638,0.0106382978723404,0.515957446808511,0.0106382978723404,0.627659574468085,NA,NA,0.146312698549075,"Sumter 01",15289,0.00156975603374975,0.0142586173065603,0.62567859245209,0.0492510955588986,0.276407874942769,0.0328340637059324,0.750474197135195,0.0300215841454641,0.146968408659821
