"school","total","amind","asian","black","hisp","white","mult","frpm","lep","swd","ls_dist","ls_ga","district","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_frpm","dist_lep","dist_swd","ga_total","ga_amind","ga_asian","ga_black","ga_hisp","ga_white","ga_mult","ga_frpm","ga_lep","ga_swd"
"Atlanta Neighborhood Charter - Elementary",374,0,0,0.155080213903743,0,0.729946524064171,0.114973262032086,0.0558,0.02,0.084,1.03848812683827,0.451848552653526,"Atlanta Public Schools",47311,0,0,0.75177020143307,0.0628817822493712,0.163788548117774,0.0215594681997844,0.6878,0.04,0.118,1740875,0.00201795074316077,0.0458953112658864,0.36440640482516,0.175976448624973,0.367475551087815,0.044228333453005,0.5618,0.1,0.126
"Atlanta Neighborhood Charter - Middle",205,0,0,0.24390243902439,0,0.75609756097561,0,0.1154,0,0.145,0.881970612726752,0.379144341422612,"Atlanta Public Schools",47311,0,0,0.75177020143307,0.0628817822493712,0.163788548117774,0.0215594681997844,0.6878,0.04,0.118,1740875,0.00201795074316077,0.0458953112658864,0.36440640482516,0.175976448624973,0.367475551087815,0.044228333453005,0.5618,0.1,0.126
"Museum School Avondale Estates",537,0,0,0.337057728119181,0.0726256983240224,0.590316573556797,0,0.2699,0.03,0.093,0.666774133501463,0.122785880961053,"DeKalb County",83546,0,0,0.659469035022622,0.216659086012496,0.113685873650444,0.0101860053144376,0.6856,0.19,0.107,1740875,0.00201795074316077,0.0458953112658864,0.36440640482516,0.175976448624973,0.367475551087815,0.044228333453005,0.5618,0.1,0.126
"Susie King Taylor Community School",220,0,0,0.8,0,0.2,0,0.5627,0,0.108,0.206120163385234,0.439326883126558,"Savannah-Chatham County",33791,0,0,0.608475629605516,0.131040809683052,0.213222455683466,0.047261105027966,0.5966,0.06,0.125,1740875,0.00201795074316077,0.0458953112658864,0.36440640482516,0.175976448624973,0.367475551087815,0.044228333453005,0.5618,0.1,0.126
"Susie King Taylor Community School Middle Grades Academy for Social Justice",74,0,0,1,0,0,0,0.5627,0,0.108,0.496798417306426,0.941544947972035,"Savannah-Chatham County",33791,0,0,0.608475629605516,0.131040809683052,0.213222455683466,0.047261105027966,0.5966,0.06,0.125,1740875,0.00201795074316077,0.0458953112658864,0.36440640482516,0.175976448624973,0.367475551087815,0.044228333453005,0.5618,0.1,0.126
