"school","total","amind","asian","black","hisp","white","mult","ecdis","el","swd","ls_dist","ls_cty","district","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_ecdis","dist_el","dist_swd","county","cty_total","cty_amind","cty_asian","cty_black","cty_hisp","cty_white","cty_mult","cty_ecdis","cty_el","cty_swd"
"MAGNOLIA MONTESSORI FOR ALL",479,0,0.022964509394572,0.112734864300626,0.484342379958246,0.329853862212944,0.0501043841336117,0.498956158663883,0.244258872651357,0.0835073068893528,0.0298440177748974,0.0331420055224555,"AUSTIN ISD",75350,0.00139349701393497,0.046171201061712,0.0663968148639681,0.549170537491705,0.301327140013271,0.0355408095554081,0.518420703384207,0.281685467816855,0.133669542136695,"Travis County",187402,0.00214512118333849,0.053259837141546,0.116247425320968,0.547342077459152,0.248721998697986,0.0322835401970096,0.572891431254736,0.286565778380167,0.117720195088633
"THE GATHERING PLACE",348,0.00574712643678161,0.00862068965517241,0.0689655172413793,0.609195402298851,0.241379310344828,0.0660919540229885,0.617816091954023,0.0258620689655172,0.0890804597701149,0.0470158671589347,0.0590597924655626,"NORTHSIDE ISD",103737,0.00123388954760597,0.0369877671419069,0.0677000491627867,0.681849291959474,0.179714084656391,0.0325149175318353,0.460616751978561,0.105295121316406,0.136701466207814,"Bexar County",354093,0.00172835949877575,0.0300373065832987,0.0732688869873169,0.706348332217807,0.162835752189397,0.0257813625234049,0.600641639343336,0.143956531193782,0.126229549864019
