"lea","total","amind","asian","black","hisp","white","mult","frpl","el","sped","ls_cty","dist","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","d_frpl","d_el","dist_sped","county","cty_total","cty_amind","cty_asian","cty_black","cty_hisp","cty_white","cty_mult","cty_frpl","cty_el","cty_sped"
"Memphis Street Academy CS @ JP Jones",618,0,0,0.254045307443366,0.619741100323625,0.0355987055016181,0.0906148867313916,0.894,0.23462783171521,0.2,0.468033744356324,"Philadelphia City SD",124111,0.0019901539750707,0.0971066222977818,0.479892999008952,0.229077197025244,0.145136208716391,0.0467968189765613,0.741441129311665,0.133187227562424,0.165,"Philadelphia",192662,0.00128203797323811,0.0740831092794635,0.520673511123107,0.225768444218372,0.137546584173319,0.0406463132325004,0.170085434595302,0.108345184831467,0.18
"Philadelphia Hebrew Public CS",263,0,0,0.783269961977186,0.064638783269962,0.102661596958175,0.0494296577946768,0.725,0.0114068441064639,0.122,0.218647682216538,"Philadelphia City SD",124111,0.0019901539750707,0.0971066222977818,0.479892999008952,0.229077197025244,0.145136208716391,0.0467968189765613,0.741441129311665,0.133187227562424,0.165,"Philadelphia",192662,0.00128203797323811,0.0740831092794635,0.520673511123107,0.225768444218372,0.137546584173319,0.0406463132325004,0.170085434595302,0.108345184831467,0.18
"Vida CS",211,0,0,0,0.677725118483412,0.322274881516588,0,0.507560370119612,0.175355450236967,0.19,0.725512480130903,"Gettysburg Area SD",2862,0,0.0202655485674354,0.0478686233403215,0.149895178197065,0.745981830887491,0.0359888190076869,0.215816445376194,0.0335429769392034,0.147,"Adams",14446,0,0.00650699155475564,0.0265125294199086,0.152152845078222,0.784992385435415,0.0298352485116987,0.191025646317615,0.0338502007476118,0.18
