"school","district.x","total","perc_amind","perc_asian","perc_black","perc_hispanic","perc_white","perc_multiple","perc_lep","perc_ed","amind","asian","black","hispanic","hawpi","white","multiple","sitecd","charter type","parish code","district.y","ls_district","p_district","metro","ls_metro","p_metro"
"Bricolage Academy","Orleans Parish",778,0.0077120822622108,0.0025706940874036,0.520565552699229,0.0591259640102828,0.331619537275064,0.0784061696658098,0.012853470437018,0.57840616966581,6,2,405,46,"0",258,61,"WBK001","Type 1","36","Orleans Parish",0.36023424355978,0.0172804406734485,"NOLA metro",0.0871658780591033,0.00412417039502979
"Edward Hynes Charter School - Lakeview","Orleans Parish",712,0,0.0491573033707865,0.331460674157303,0.0421348314606742,0.518258426966292,0.0589887640449438,0.0294943820224719,0.424157303370786,0,35,236,30,"0",369,42,"3C2001","Type 1","36","Orleans Parish",0.786177213497433,0.0158144906934388,"NOLA metro",0.14705384532248,0.00377430504018151
"Edward Hynes Charter School - UNO","Orleans Parish",207,0,0.0338164251207729,0.676328502415459,0.00966183574879227,0.222222222222222,0.0579710144927536,0.00966183574879227,0.618357487922705,0,7,140,2,"0",46,12,"3C2002","Type 1","36","Orleans Parish",0.194779666835618,0.00459775221003065,"NOLA metro",0.192701494516269,0.00109730497656962
"Homer A. Plessy Community School","Orleans Parish",753,0.00398406374501992,0.0146082337317397,0.524568393094289,0.099601593625498,0.272244355909695,0.0849933598937583,0.049136786188579,0.726427622841965,3,11,395,75,"0",205,64,"036189","Type 1","36","Orleans Parish",0.267069194327852,0.0167251565901115,"NOLA metro",0.0592748745948025,0.00399164563940544
"International High School of New Orleans","Type 2 Charters",385,0,0.0233766233766234,0.631168831168831,0.290909090909091,0.051948051948052,0.0025974025974026,0.145454545454545,0.8,0,9,243,112,"2",20,1,"344001","Type 2","36","Type 2 Charters",0.401077385944962,0.0145157033518079,"NOLA metro",0.284914112528688,0.002040881236615
"International School of Louisiana","Type 2 Charters",1291,0.00232378001549187,0.0154918667699458,0.384972889233153,0.298218435321456,0.244771494965143,0.0542215336948102,0.034856700232378,0.608830364058869,3,20,497,385,"1",316,70,"331001","Type 2","36","Type 2 Charters",0.213877295453661,0.0486747351355427,"NOLA metro",0.0904178000247845,0.00684357838044147
"Kenner Discovery Health Sciences Academy","Jefferson Parish",2005,0.00199501246882793,0.0543640897755611,0.158104738154613,0.30573566084788,0.439401496259352,0.0403990024937656,0.0374064837905237,0.703740648379052,4,109,317,613,"0",881,81,"026125","Type 1","26","Jefferson Parish",0.14591178726236,0.041118927011341,"NOLA metro",0.233532707502292,0.0106284854010729
"Lycee Francais de la Nouvelle-Orleans","Type 2 Charters",1074,0.00279329608938547,0.0139664804469274,0.210428305400372,0.170391061452514,0.506517690875233,0.095903165735568,0.0474860335195531,0.493482309124767,3,15,226,183,"2",544,103,"347001","Type 2","36","Type 2 Charters",0.230418363803291,0.0404931568827056,"NOLA metro",0.183984111040988,0.0056932635016221
"Morris Jeff Community School","Orleans Parish",1355,0.000738007380073801,0.0044280442804428,0.495940959409594,0.214022140221402,0.234686346863469,0.0501845018450185,0.122509225092251,0.709225092250923,1,6,672,290,"0",318,68,"368001","Type 3B","36","Orleans Parish",0.25479635959652,0.0300963973168673,"NOLA metro",0.0508577952939463,0.0071828417548398
