"school","total","amind","asian","black","hisp","white","mult","frpl","ell","swd","ls_dist","district","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_frpl","dist_ell","dist_swd"
"Central Park School For Children",621,0,0.0257648953301127,0.251207729468599,0.130434782608696,0.491143317230274,0.101449275362319,"0.196",0.0386473429951691,0.198067632850242,0.294272569490754,"Durham County Schools",31603,0.00164541341011929,0.0215802297250261,0.410150935037813,0.331677372401354,0.192481726418378,0.0424643230073094,0.3594,0.172831693193684,0.151314748599816
"Charlotte Lab School",845,0.00236686390532544,0.0189349112426036,0.337278106508876,0.133727810650888,0.434319526627219,0.0733727810650888,"NA",0.0378698224852071,0.0686390532544379,0.148598632780158,"Charlotte-Mecklenburg County Schools",140073,0.00210604470526083,0.0744111998743512,0.366516030926731,0.27189394101647,0.257679924039608,0.027392859437579,0.299,0.181983679938318,0.106458775067286
