"district","school","amind","m_amind","comp_amind","asian","m_asian","comp_asian","black","m_black","comp_black","hispanic","m_hispanic","comp_hispanic","white","m_white","comp_white","multiple","m_multiple","comp_multiple"
"Boston","Boston Collegiate Charter School",0.3,0.328205128205128,-0.0632091585202309,1.7,6.46239316239316,-0.486406332054108,32.6,32.5666666666667,0.00182161554743462,18.2,43.225641025641,-1.32473086853343,44.4,13.9615384615385,2.09015001548344,2.7,3.46153846153846,-0.366924060252241
"Cambridge","Benjamin Banneker Charter Public School",0.3,0.258823529411765,0.152848083088939,1.5,13.8470588235294,-1.97558891275034,82.4,21.7294117647059,6.14628945491282,9.5,13.2764705882353,-0.414189378499412,2.4,41.4470588235294,-3.32049263751446,3.9,9.45882352941176,-1.6183167690747
