"district","sitename","all_grades","perc_math","mean_math","comp_math","perc_ela","mean_ela","comp_ela"
"Jefferson Parish","Kenner Discovery Health Sciences Academy",340,0.807058823529412,0.628198813536657,0.880129019934018,0.749705882352941,0.658289605402359,0.567832112012868
"Orleans Parish","Edward Hynes Charter School",70,0.81,0.530644143705878,1.58285052954114,0.95,0.578255507142362,2.30849069747411
"Orleans Parish","Homer A. Plessy Community School",140,0.484285714285714,0.530644143705878,-0.262670221164597,0.631428571428571,0.578255507142362,0.330198635404978
"Orleans Parish","Morris Jeff Community School",70,0.64,0.530644143705878,0.619618207900863,0.8,0.578255507142362,1.37700788797967
"Orleans Parish","Bricolage Academy",150,0.75,0.530644143705878,1.24288618072692,0.852666666666667,0.578255507142362,1.70406185220216
"Type 2 Charters","Lycee Francais de la Nouvelle-Orleans",270,0.757037037037037,0.554047562601035,0.973928131114296,0.9,0.63564095377665,1.44067787312397
"Type 2 Charters","International School of Louisiana",760,0.747631578947369,0.554047562601035,0.928801455236169,0.865131578947369,0.63564095377665,1.25065538893459
