"district","school","total","amind","m_amind","comp_amind","asian","m_asian","comp_asian","black","m_black","comp_black","hispanic","m_hispanic","comp_hispanic","white","m_white","comp_white","multiple","m_multiple","comp_multiple","frpl","m_frpl","comp_frpl","el","m_el","comp_el","swd","m_swd","comp_swd"
"Austin","IDEA Health Professions College Prep",109,0,0.00942368440828823,-0.424344985806487,0,0.0470255504209782,-0.948465708142593,0.275229357798165,0.10095961769695,1.45368054324093,0.63302752293578,0.5656955531248,0.265071331164914,0.0917431192660551,0.23874939222223,-0.621449908427272,0,0.0381462021267539,-1.25262394161107,0.807339449541284,0.581123006180131,0.681937132544849,0.311926605504587,0.30969302651088,0.00880586176451915,0.0917431192660551,0.131211157380317,-0.405695695825532
"Austin","IDEA Health Professions Academy",238,0.0420168067226891,0.00942368440828823,1.46765611269083,0.0840336134453782,0.0470255504209782,0.746421432374444,0.184873949579832,0.10095961769695,0.699975976818235,0.53781512605042,0.5656955531248,-0.109759181838862,0.0756302521008403,0.23874939222223,-0.689564959730618,0.0756302521008403,0.0381462021267539,1.23088055450625,0.756302521008403,0.581123006180131,0.528084582392051,0.260504201680672,0.30969302651088,-0.193926426168176,0,0.131211157380317,-1.34873189387757
"Austin","IDEA Montopolis College Prep",752,0.0132978723404255,0.00942368440828823,0.174453234196654,0,0.0470255504209782,-0.948465708142593,0.0359042553191489,0.10095961769695,-0.542662853959452,0.916223404255319,0.5656955531248,1.37995196591429,0.0212765957446809,0.23874939222223,-0.919337976119466,0.0132978723404255,0.0381462021267539,-0.815955745632994,0.871010638297872,0.581123006180131,0.873876088180668,0.496010638297872,0.30969302651088,0.734555231005475,0.0811170212765957,0.131211157380317,-0.514922361849911
"Austin","IDEA Montopolis Academy",708,0,0.00942368440828823,-0.424344985806487,0.0141242937853107,0.0470255504209782,-0.663590609665859,0.0564971751412429,0.10095961769695,-0.370885889946582,0.879943502824859,0.5656955531248,1.23712587908361,0.0353107344632768,0.23874939222223,-0.860010479094035,0.0141242937853107,0.0381462021267539,-0.788818174131532,0.860169491525424,0.581123006180131,0.841195083945717,0.587570621468927,0.30969302651088,1.09552950468799,0.0607344632768362,0.131211157380317,-0.724436602878997
"Austin","IDEA Bluff Springs College Prep",453,0,0.00942368440828823,-0.424344985806487,0.0441501103752759,0.0470255504209782,-0.0579952016457831,0.0353200883002208,0.10095961769695,-0.547535715013389,0.854304635761589,0.5656955531248,1.13619123182615,0.0441501103752759,0.23874939222223,-0.822643166525655,0.022075055187638,0.0381462021267539,-0.527735457338414,0.854304635761589,0.581123006180131,0.823515277549004,0.479028697571744,0.30969302651088,0.667604107741488,0.119205298013245,0.131211157380317,-0.123409363693398
"Austin","IDEA Bluff Springs Academy",704,0,0.00942368440828823,-0.424344985806487,0.0284090909090909,0.0470255504209782,-0.375478294160981,0.0823863636363636,0.10095961769695,-0.154929811893123,0.791193181818182,0.5656955531248,0.887735154341779,0.0823863636363636,0.23874939222223,-0.661004376493962,0.015625,0.0381462021267539,-0.739538811336831,0.832386363636364,0.581123006180131,0.757441903653935,0.451704545454545,0.30969302651088,0.559878924502108,0.0838068181818182,0.131211157380317,-0.48727368511725
"Austin","IDEA Rundberg College Prep",608,0.0164473684210526,0.00942368440828823,0.31627386525003,0.0328947368421053,0.0470255504209782,-0.285006597216516,0.0345394736842105,0.10095961769695,-0.554047254414346,0.883223684210526,0.5656955531248,1.2500392402819,0.0328947368421053,0.23874939222223,-0.870223794963115,0,0.0381462021267539,-1.25262394161107,0.934210526315789,0.581123006180131,1.06439429177247,0.671052631578947,0.30969302651088,1.42465645427167,0.110197368421053,0.131211157380317,-0.216002723750262
"Austin","IDEA Rundberg Academy",696,0,0.00942368440828823,-0.424344985806487,0.028735632183908,0.0470255504209782,-0.368892231931307,0.0675287356321839,0.10095961769695,-0.278865526354185,0.834770114942529,0.5656955531248,1.05928806900894,0.0545977011494253,0.23874939222223,-0.778477334691959,0.014367816091954,0.0381462021267539,-0.780821522968091,0.932471264367816,0.581123006180131,1.0591512277055,0.693965517241379,0.30969302651088,1.51499026576347,0.0617816091954023,0.131211157380317,-0.713672890965228
"Austin","IDEA Parmer Park College Prep",148,0.0675675675675676,0.00942368440828823,2.6181973212365,0.0675675675675676,0.0470255504209782,0.414315168354214,0.101351351351351,0.10095961769695,0.00326766764674949,0.628378378378378,0.5656955531248,0.246768659490997,0.0675675675675676,0.23874939222223,-0.723648910463618,0.0675675675675676,0.0381462021267539,0.966122567682935,0.695945945945946,0.581123006180131,0.346137642033656,0.398648648648649,0.30969302651088,0.350706607614462,0.0878378378378378,0.131211157380317,-0.445838452904774
"Austin","IDEA Parmer Park Academy",335,0.0298507462686567,0.00942368440828823,0.919822958797579,0.0597014925373134,0.0470255504209782,0.255663066314287,0.253731343283582,0.10095961769695,1.27435368247893,0.513432835820895,0.5656955531248,-0.205746959207221,0.101492537313433,0.23874939222223,-0.580235511035071,0.0417910447761194,0.0381462021267539,0.119687332197043,0.767164179104478,0.581123006180131,0.560827418706979,0.256716417910448,0.30969302651088,-0.208859723968906,0.0417910447761194,0.131211157380317,-0.919157792914165
