"school","total","amind","asian","black","hisp","white","mult","frpl","ell","swd","ls_dist","ls_cty","district","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_frpl","dist_ell","dist_swd","county","cty_total","cty_amind","cty_asian","cty_black","cty_hisp","cty_white","cty_mult","cty_frpl","cty_ell","cty_swd"
"Bergen Arts And Sciences Charter School",1253,0.000798084596967279,0.0814046288906624,0.106145251396648,0.507581803671189,0.296887470071828,0.00718276137270551,0.53,0.056,0.0496688741721854,0.0414899569053022,0.144723244138472,"Garfield Public School District",5949,0.000672381912926542,0.027231467473525,0.0835434526811229,0.544965540426963,0.33602286098504,0.0075642965204236,0.444698604807531,0.0684568835098336,0.192678227360308,"Bergen",132817,0.0017919392848807,0.166432007950789,0.0523954011911126,0.304938373852745,0.444295534457185,0.0301467432632871,0.199003342945557,0.0562015931695491,0.170728751685172
"Hoboken Charter School",300,0.0133333333333333,0.0733333333333333,0.09,0.253333333333333,0.503333333333333,0.0666666666666667,0.21,0.003,0.157718120805369,0.028969648268417,0.392373190059292,"Hoboken Public School District",2622,0.0045766590389016,0.0720823798627002,0.0903890160183066,0.332951945080092,0.465293668954996,0.0347063310450038,0.378012585812357,0.015443173150267,0.127483443708609,"Hudson",80300,0.00205479452054795,0.0987048567870486,0.114856787048568,0.593088418430884,0.175753424657534,0.0155417185554172,0.616776737235367,0.152770124533001,0.133713055676486
"Learning Community Charter School",637,0,0.32182103610675,0.150706436420722,0.215070643642072,0.268445839874411,0.043956043956044,0.289,0,0.0425867507886435,0.153606594707441,0.36252852575916,"Jersey City Public Schools",26033,0.00276572043175969,0.186417239657358,0.25148849537126,0.381631006799063,0.159336227096378,0.0183613106441824,0.547262781853801,0.140860023815926,0.132546510772851,"Hudson",80300,0.00205479452054795,0.0987048567870486,0.114856787048568,0.593088418430884,0.175753424657534,0.0155417185554172,0.616776737235367,0.152770124533001,0.133713055676486
"Hudson Arts And Science Charter School",846,0.00591016548463357,0.0307328605200946,0.0673758865248227,0.75531914893617,0.137115839243499,0.00354609929078014,0.599,0.085,0.0466257668711656,0.0595809141993543,0.0778007041802749,"Kearny",6207,0.00161108425970678,0.0328661188980184,0.0278717576929273,0.680038666022233,0.248106975994845,0.00950539713227002,0.572518769131626,0.128413404221041,0.188715953307393,"Hudson",80300,0.00205479452054795,0.0987048567870486,0.114856787048568,0.593088418430884,0.175753424657534,0.0155417185554172,0.616776737235367,0.152770124533001,0.133713055676486
"Passaic Arts And Science Charter School",1946,0.0025693730729702,0.0405960945529291,0.0693730729701953,0.834018499486125,0.0477903391572456,0.00565262076053443,0.747,0.095,0.0498630136986301,0.0533600818278023,0.171774336910427,"Passaic City School District",14141,0.00127289442047946,0.0196591471607383,0.0363482073403578,0.925959974542112,0.0130118096315678,0.00374796690474507,0.961853404992575,0.287511632840676,0.139379511595761,"Passaic",79501.5,0.00202511902291152,0.0545146946912951,0.0887404640164022,0.594039106180387,0.249674534442746,0.0110060816462582,0.561885046194097,0.150238026955466,0.163116476981442
"Paterson Arts And Science Charter School",1160,0.00258620689655172,0.0146551724137931,0.2,0.76551724137931,0.0137931034482759,0.00344827586206897,0.805,0.13,0.100936524453694,0.0461164356341987,0.29409416160808,"Paterson Public School District",24867,0.000160855752603853,0.055575662524631,0.193388828567982,0.702256001930269,0.0470100936984759,0.00160855752603852,0.649693408935537,0.245970684039088,0.155882352941176,"Passaic",79501.5,0.00202511902291152,0.0545146946912951,0.0887404640164022,0.594039106180387,0.249674534442746,0.0110060816462582,0.561885046194097,0.150238026955466,0.163116476981442
