"school","total","amind","asian","black","hisp","white","mult","frl","lep","swd","ls_dist","ls_ri","district","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_frl","dist_lep","dist_swd","state","ri_total","ri_amind","ri_asian","ri_black","ri_hisp","ri_white","ri_mult","ri_frl","ri_lep","ri_swd"
"Blackstone Valley Prep Junior High School",324,0,0,0.154320987654321,0.549382716049383,0.225308641975309,0.0308641975308642,0.657407407407407,0.095679012345679,0.138888888888889,0.0892738974837711,0.260471265627048,"Central Falls",2920,0.0743150684931507,0,0.163013698630137,0.494520547945206,0.207534246575342,0.014041095890411,0.920205479452055,0.424315068493151,0.207876712328767,"Rhode Island",137452,0.00225533277071269,0.0229825684602625,0.081344760352705,0.289068183802346,0.518624683525885,0.0395119750894858,0.457614294444606,0.117015394464977,0.162602217501382
"Blackstone Valley Prep Elementary 2 School",409,0,0.0684596577017115,0.163814180929095,0.518337408312958,0.210268948655257,0,0.640586797066015,0.251833740831296,0.127139364303178,0.42541993319177,0.307158088339433,"Cumberland",6270,0,0.0424242424242424,0.058213716108453,0.226315789473684,0.605103668261563,0.0280701754385965,0.291068580542265,0.0607655502392345,0.154864433811802,"Rhode Island",137452,0.00225533277071269,0.0229825684602625,0.081344760352705,0.289068183802346,0.518624683525885,0.0395119750894858,0.457614294444606,0.117015394464977,0.162602217501382
"Blackstone Valley Prep Elementary 3 School",262,0,0,0.240458015267176,0.446564885496183,0.187022900763359,0.0419847328244275,0.583969465648855,0.213740458015267,0.125954198473282,0.52941025629051,0.331468640947519,"Cumberland",6270,0,0.0424242424242424,0.058213716108453,0.226315789473684,0.605103668261563,0.0280701754385965,0.291068580542265,0.0607655502392345,0.154864433811802,"Rhode Island",137452,0.00225533277071269,0.0229825684602625,0.081344760352705,0.289068183802346,0.518624683525885,0.0395119750894858,0.457614294444606,0.117015394464977,0.162602217501382
"Blackstone Valley Prep Elementary School",395,0,0,0.177215189873418,0.493670886075949,0.248101265822785,0.0278481012658228,0.665822784810127,0.235443037974684,0.159493670886076,0.395102364639606,0.228610132263721,"Cumberland",6270,0,0.0424242424242424,0.058213716108453,0.226315789473684,0.605103668261563,0.0280701754385965,0.291068580542265,0.0607655502392345,0.154864433811802,"Rhode Island",137452,0.00225533277071269,0.0229825684602625,0.081344760352705,0.289068183802346,0.518624683525885,0.0395119750894858,0.457614294444606,0.117015394464977,0.162602217501382
"Blackstone Valley Prep High School",399,0,0,0.115288220551378,0.593984962406015,0.238095238095238,0,0.68922305764411,0.0300751879699248,0.152882205513784,0.467107946759549,0.305083345153202,"Cumberland",6270,0,0.0424242424242424,0.058213716108453,0.226315789473684,0.605103668261563,0.0280701754385965,0.291068580542265,0.0607655502392345,0.154864433811802,"Rhode Island",137452,0.00225533277071269,0.0229825684602625,0.081344760352705,0.289068183802346,0.518624683525885,0.0395119750894858,0.457614294444606,0.117015394464977,0.162602217501382
"Blackstone Valley Prep Upper Elementary School",387,0,0,0.175710594315245,0.498708010335917,0.258397932816537,0,0.705426356589147,0.0775193798449612,0.160206718346253,0.626995034649196,0.265877254927614,"Lincoln",3668,0,0.0324427480916031,0.0605234460196292,0.141221374045802,0.708015267175573,0.0199018538713195,0.329334787350055,0.0144492911668484,0.172300981461287,"Rhode Island",137452,0.00225533277071269,0.0229825684602625,0.081344760352705,0.289068183802346,0.518624683525885,0.0395119750894858,0.457614294444606,0.117015394464977,0.162602217501382
