"school","total","amind","asian","black","hisp","white","mult","frpm","p_ell","p_swd","ls_dist","ls_cty","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_frpm","dist_ell","dist_swd","county","cty_total","cty_amind","cty_asian","cty_black","cty_hisp","cty_white","cty_mult","cty_frpm","cty_ell","cty_swd"
"Global Preparatory Academy",780,0,0.00641025641025641,0.307692307692308,0.578205128205128,0.0730769230769231,0.0346153846153846,0.764102564102564,0.462382445141066,0.137931034482759,0.896785555780976,0.328325736205018,22027,0.00145276251872702,0.00907976574204386,0.375402914604803,0.353112089708086,0.206201480001816,0.0547509874245244,0.676714940754529,0.2492425955234,0.175175220438616,"Marion County",127789,0.00123641314980163,0.0589096088082699,0.350335318376386,0.24073277042625,0.286503533167957,0.0622823560713363,0.656511906345617,0.188765806817211,0.15459435961528
"Purdue Polytechnic High Sch North",283,0,0.0141342756183746,0.318021201413428,0.144876325088339,0.45583038869258,0.0671378091872792,0.27208480565371,0.0211640211640212,0.211640211640212,0.133719239353994,0.0928400465108682,22027,0.00145276251872702,0.00907976574204386,0.375402914604803,0.353112089708086,0.206201480001816,0.0547509874245244,0.676714940754529,0.2492425955234,0.175175220438616,"Marion County",127789,0.00123641314980163,0.0589096088082699,0.350335318376386,0.24073277042625,0.286503533167957,0.0622823560713363,0.656511906345617,0.188765806817211,0.15459435961528
"Purdue Polytechnic High School Ind",569,0,0.0105448154657293,0.360281195079086,0.256590509666081,0.314586994727592,0.0579964850615114,0.685413005272408,0.0763765541740675,0.159857904085258,0.287372128185358,0.0329873074118862,22027,0.00145276251872702,0.00907976574204386,0.375402914604803,0.353112089708086,0.206201480001816,0.0547509874245244,0.676714940754529,0.2492425955234,0.175175220438616,"Marion County",127789,0.00123641314980163,0.0589096088082699,0.350335318376386,0.24073277042625,0.286503533167957,0.0622823560713363,0.656511906345617,0.188765806817211,0.15459435961528
"Purdue Polytechnic High School South Bend",141,0.00709219858156028,0.0212765957446809,0.170212765957447,0.326241134751773,0.397163120567376,0.0780141843971631,0.524822695035461,0.118279569892473,0.161290322580645,0.159474479548786,0.113275221799661,22027,0.00145276251872702,0.00907976574204386,0.375402914604803,0.353112089708086,0.206201480001816,0.0547509874245244,0.676714940754529,0.2492425955234,0.175175220438616,"Marion County",127789,0.00123641314980163,0.0589096088082699,0.350335318376386,0.24073277042625,0.286503533167957,0.0622823560713363,0.656511906345617,0.188765806817211,0.15459435961528
