"district","school name","frpl","m_frpl","comp_frpl"
"Charlotte-Mecklenburg Schools","Charlotte Lab School",0.09,0.550753082024327,-1.63491237799157
"Durham Public Schools","Central Park School For Child",0.296,0.654073102886489,-1.40417755839962
