"district","school","n_math","perc_math","mean_math","comp_math","n_ela","perc_ela","mean_ela","comp_ela"
"Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary",198,0.646464646464647,0.332281216690221,1.52235752156228,198,0.696969696969697,0.331065462997916,1.6970653286637
"Atlanta Public Schools","Atlanta Neighborhood Charter - Middle",212,0.419811320754717,0.332281216690221,0.424122024453629,230,0.678260869565217,0.331065462997916,1.61029371090061
"DeKalb County","Museum School Avondale Estates",380,0.555263157894737,0.344905583476806,0.999321513388286,396,0.691919191919192,0.366266773506955,1.50627649732365
