"district","school","total","amind","m_amind","comp_amind","asian","m_asian","comp_asian","black","m_black","comp_black","hispanic","m_hispanic","comp_hispanic","white","m_white","comp_white","multiple","m_multiple","comp_multiple","frpl","m_frpl","comp_frpl","lep","m_lep","comp_lep","iep","m_iep","comp_iep"
"Central Falls","Blackstone Valley Prep Middle School",299,0,0.124809813263065,-1.29577124679873,0,0,NA,0.11371237458194,0.115008581204988,-0.015980314712943,0.511705685618729,0.440786462789582,0.31470878600108,0.287625418060201,0.126628369798926,2.43348029424171,0,0.015721851581293,-0.656359256903251,0.568561872909699,0.802761180068577,-0.654693972095614,0.0367892976588629,0.391880126071449,-1.20527048206716,0.140468227424749,0.181757682510647,-0.335046747355479
"Cumberland","Blackstone Valley Prep Elementary 2 School",410,0,0,NA,0.0268292682926829,0.0374374278128872,-0.195114436255895,0.136585365853659,0.0167349500150723,4.19677268375127,0.446341463414634,0.0983787247925745,3.73267831759085,0.3,0.756912837606887,-4.89019612432579,0.0731707317073171,0.0105356050365426,4.36095914917368,0.504878048780488,0.20867851632365,1.98228595621453,0.0951219512195122,0.0255627462053838,1.82311360002513,0.121951219512195,0.220245401462937,-0.551376549183582
"Cumberland","Blackstone Valley Prep Elementary 3 School",266,0,0,NA,0,0.0374374278128872,-0.688581521485416,0.18796992481203,0.0167349500150723,5.99609321087848,0.43609022556391,0.0983787247925745,3.62271087278514,0.293233082706767,0.756912837606887,-4.96262033743025,0,0.0105356050365426,-0.733539558683907,0.556390977443609,0.20867851632365,2.32703111568661,0.154135338345865,0.0255627462053838,3.36982634108864,0.0827067669172932,0.220245401462937,-0.771516443701645
"Cumberland","Blackstone Valley Prep Elementary School",407,0,0,NA,0,0.0374374278128872,-0.688581521485416,0.14987714987715,0.0167349500150723,4.66220783237218,0.417690417690418,0.0983787247925745,3.4253317965967,0.348894348894349,0.756912837606887,-4.36689510105646,0.027027027027027,0.0105356050365426,1.14821221629052,0.520884520884521,0.20867851632365,2.08940768121249,0.135135135135135,0.0255627462053838,2.87184007356752,0.12039312039312,0.220245401462937,-0.560116632253727
"Cumberland","Blackstone Valley Prep High School",351,0,0,NA,0,0.0374374278128872,-0.688581521485416,0.15954415954416,0.0167349500150723,5.00071514434267,0.555555555555556,0.0983787247925745,4.90424362749769,0.225071225071225,0.756912837606887,-5.69213551976127,0,0.0105356050365426,-0.733539558683907,0.575498575498576,0.20867851632365,2.45490681814698,0.0455840455840456,0.0255627462053838,0.524748711259697,0.15954415954416,0.220245401462937,-0.340500736016154
"Lincoln","Blackstone Valley Prep Middle School 2",308,0,0,NA,0,0.0221241260707519,-0.929419575483342,0.107142857142857,0.0296631164469759,2.50541416748065,0.551948051948052,0.0679609901500545,12.2978478479274,0.282467532467532,0.795482226996768,-9.80128646228525,0,0.00752044295696019,-0.585504265556316,0.470779220779221,0.238055208936985,1.66679704069198,0.0487012987012987,0,Inf,0.113636363636364,0.249857159737943,-0.603919232000766
