"school name","total","amind","m_amind","comp_amind","asian","m_asian","comp_asian","black","m_black","comp_black","hispanic","m_hispanic","comp_hispanic","white","m_white","comp_white","multiple","m_multiple","comp_multiple"
"DSST: Conservatory Green High School",442,0.00452488687782805,0.00701284860759498,-0.335188205775562,0.0429864253393665,0.0296628524049794,0.472363145824596,0.237556561085973,0.134404500828157,0.86390890373743,0.536199095022624,0.570438619559313,-0.127978416743771,0.122171945701357,0.221717155905776,-0.427721278517446,0.0565610859728507,0.03676402269418,0.72517334902868
"DSST: Montview Middle School",474,0,0.00701284860759498,-0.944799155883969,0.040084388185654,0.0296628524049794,0.36947667490736,0.322784810126582,0.134404500828157,1.57770408157591,0.388185654008439,0.570438619559313,-0.681214073316501,0.172995780590717,0.221717155905776,-0.209343763482859,0.0759493670886076,0.03676402269418,1.43537286451798
"DSST: Henry Middle School",215,0,0.00701284860759498,-0.944799155883969,0.0372093023255814,0.0296628524049794,0.267545713290104,0.0558139534883721,0.134404500828157,-0.658203756926833,0.781395348837209,0.570438619559313,0.788501259282982,0.111627906976744,0.221717155905776,-0.47302641891313,0.013953488372093,0.03676402269418,-0.835557846870319
"DSST: Green Valley Ranch High School",556,0.00539568345323741,0.00701284860759498,-0.217870990556858,0.102517985611511,0.0296628524049794,2.58294678765087,0.22841726618705,0.134404500828157,0.78736638759837,0.580935251798561,0.570438619559313,0.0392336749209582,0.0575539568345324,0.221717155905776,-0.705368879608329,0.0251798561151079,0.03676402269418,-0.424332071661486
"DSST: Cole High School",362,0.00276243093922652,0.00701284860759498,-0.572633354850936,0.0138121546961326,0.0296628524049794,-0.561957777402301,0.124309392265193,0.134404500828157,-0.0845475519339323,0.80939226519337,0.570438619559313,0.893146434046725,0.0441988950276243,0.221717155905776,-0.762752294631513,0.00552486187845304,0.03676402269418,-1.14430138201323
"DSST: Green Valley Ranch Middle School",482,0,0.00701284860759498,-0.944799155883969,0.0892116182572614,0.0296628524049794,2.11119363450613,0.240663900414938,0.134404500828157,0.889933183878,0.576763485477178,0.570438619559313,0.0236406999582517,0.0560165975103734,0.221717155905776,-0.711974534408994,0.037344398340249,0.03676402269418,0.0212593628171067
"DSST: Montview High School",577,0.00693240901213172,0.00701284860759498,-0.0108371456658901,0.0571923743500867,0.0296628524049794,0.976009337215845,0.292894280762565,0.134404500828157,1.32736788479556,0.379549393414211,0.570438619559313,-0.713494164012606,0.195840554592721,0.221717155905776,-0.111185389779958,0.0675909878682842,0.03676402269418,1.12920251155538
"DSST: Byers Middle School",482,0.00829875518672199,0.00701284860759498,0.173242503650951,0.033195020746888,0.0296628524049794,0.125226630858137,0.188796680497925,0.134404500828157,0.455539988178168,0.298755186721992,0.570438619559313,-1.01548184621479,0.408713692946058,0.221717155905776,0.803478115491027,0.0622406639004149,0.03676402269418,0.93321827411808
"DSST Middle School @ Noel Campus",309,0,0.00701284860759498,-0.944799155883969,0.0194174757281553,0.0296628524049794,-0.363231272951726,0.226537216828479,0.134404500828157,0.771620784686744,0.647249190938511,0.570438619559313,0.287097891904457,0.0614886731391586,0.221717155905776,-0.688462371651169,0.0453074433656958,0.03676402269418,0.312948486011
"Downtown Denver Expeditionary School",344,0.00290697674418605,0.00701284860759498,-0.553159562936417,0.0116279069767442,0.0296628524049794,-0.639396324034761,0.0843023255813953,0.134404500828157,-0.419610768646865,0.177325581395349,0.570438619559313,-1.46935405518407,0.630813953488372,0.221717155905776,1.75778829478682,0.0930232558139535,0.03676402269418,2.06079537762587
"DSST: Conservatory Green Middle School",472,0.00847457627118644,0.00701284860759498,0.196929826946183,0.0275423728813559,0.0296628524049794,-0.0751777607529207,0.213983050847458,0.134404500828157,0.666478378971391,0.559322033898305,0.570438619559313,-0.0415508991945218,0.135593220338983,0.221717155905776,-0.370053363250096,0.0550847457627119,0.03676402269418,0.671094490996967
"DSST: Cole Middle School",346,0.00867052023121387,0.00701284860759498,0.223328184930695,0.00867052023121387,0.0296628524049794,-0.744245114476941,0.205202312138728,0.134404500828157,0.592938807072357,0.722543352601156,0.570438619559313,0.568527839604506,0.0317919075144509,0.221717155905776,-0.816062067656122,0.023121387283237,0.03676402269418,-0.499734504621696
"DSST: Byers High School",529,0.00378071833648393,0.00701284860759498,-0.435445583203599,0.0396975425330813,0.0296628524049794,0.355761762976626,0.136105860113422,0.134404500828157,0.014249055533386,0.313799621928166,0.570438619559313,-0.959249669379872,0.44234404536862,0.221717155905776,0.947979466240417,0.0642722117202268,0.03676402269418,1.00763458099488
"DSST: College View High School",539,0.00556586270871985,0.00701284860759498,-0.194943757142088,0.0649350649350649,0.0296628524049794,1.25051240781693,0.00927643784786642,0.134404500828157,-1.04796014200695,0.88126159554731,0.570438619559313,1.16177525514138,0.0315398886827458,0.221717155905776,-0.817144930575252,0.00742115027829314,0.03676402269418,-1.07483967497723
"DSST: College View Middle School",471,0.00636942675159236,0.00701284860759498,-0.0866843789797786,0.0636942675159236,0.0296628524049794,1.2065221827382,0.0191082802547771,0.134404500828157,-0.965617470670632,0.872611464968153,0.570438619559313,1.12944332205741,0.0276008492569002,0.221717155905776,-0.834070013920734,0.0106157112526539,0.03676402269418,-0.957821789655346
