"school","subject","n_tested","p_prof","mean_math","comp_math"
"City Neighbors Charter School","math",129,0.170542635658915,0.167543833744677,0.0284813671112884
"Baltimore Montessori Public Charter School","math",213,0.173708920187793,0.167543833744677,0.058553414090324
"City Neighbors Hamilton","math",132,0.265151515151515,0.167543833744677,0.927036958937061
