"district","school","econ","m_econ","comp_econ","ell","m_ell","comp_ell","swd","m_swd","comp_swd"
"Boston","Boston Collegiate Charter School",30.3,61.2324786324786,-1.97174006407026,4.9,34.4418803418803,-1.62375961402608,15.7,24.317094017094,-0.558115181737331
"Cambridge","Benjamin Banneker Charter Public School",49.1,27.4941176470588,2.54122074631119,5.1,8.18823529411765,-0.358576674388582,14.9,21.5882352941176,-1.1336015969101
