"district","sitename","total","perc_amind","mean_amind","comp_amind","perc_asian","mean_asian","comp_asian","perc_black","mean_black","comp_black","perc_hispanic","mean_hispanic","comp_hispanic","perc_white","mean_white","comp_white","perc_multiple","mean_multiple","comp_multiple","perc_lep","mean_lep","comp_lep","perc_ed","mean_ed","comp_ed"
"Orleans Parish","Bricolage Academy",696,0.00862068965517241,0.00227943349712649,0.96078749123715,0.00718390804597701,0.0384993285386277,-0.81340173144139,0.515804597701149,0.814083435805066,-1.61566461287314,0.0517241379310345,0.0954150822083125,-0.438672227828837,0.375,0.0578899228059716,2.62061071498548,0.0416666666666667,0.0130127704165394,1.40261500546252,0.0158045977011494,0.0731600786120128,-0.608569973265371,0.535919540229885,0.86478293262987,-2.04211581634879
"Orleans Parish","Edward Hynes Charter School",708,0,0.00227943349712649,-0.345365513797657,0.0480225988700565,0.0384993285386277,0.247361985076539,0.333333333333333,0.814083435805066,-2.60404302610335,0.0423728813559322,0.0954150822083125,-0.532562085845308,0.519774011299435,0.0578899228059716,3.81702909632436,0.0564971751412429,0.0130127704165394,2.12857190652401,0.0169491525423729,0.0731600786120128,-0.596425681245457,0.355932203389831,0.86478293262987,-3.15976830001754
"Orleans Parish","Homer A. Plessy Community School",455,0.00659340659340659,0.00227943349712649,0.653626235108086,0.0175824175824176,0.0384993285386277,-0.543305864028861,0.426373626373626,0.814083435805066,-2.10007864836839,0.134065934065934,0.0954150822083125,0.388067952577598,0.314285714285714,0.0578899228059716,2.11886536175221,0.101098901098901,0.0130127704165394,4.3118369519351,0.0747252747252747,0.0731600786120128,0.0166075036191086,0.714285714285714,0.86478293262987,-0.934530133178519
"Type 2 Charters","International High School of New Orleans",443,0,0.00653735082180155,-0.669024755762164,0.0248306997742664,0.0099214794813934,1.50272147625095,0.652370203160271,0.618272089217278,0.111263155867203,0.2686230248307,0.0637105968678455,2.49987711496888,0.0496613995485327,0.281725545218769,-0.851578263460925,0.00451467268623025,0.0206359545097424,-0.556366143059689,0.151241534988713,0.0202850679701498,3.91892917286164,0.790067720090293,0.778077833912321,0.0699522630230662
"Type 2 Charters","International School of Louisiana",1376,0.00290697674418605,0.00653735082180155,-0.371528191894202,0.0174418604651163,0.0099214794813934,0.757989874174158,0.409156976744186,0.618272089217278,-0.682348806511114,0.282703488372093,0.0637105968678455,2.67165502480685,0.247093023255814,0.281725545218769,-0.127086857072676,0.0406976744186047,0.0206359545097424,0.692355722766333,0.0377906976744186,0.0202850679701498,0.523863574661398,0.627180232558139,0.778077833912321,-0.880377723590898
"Jefferson Parish","Kenner Discovery Health Sciences Academy",1840,0.00217391304347826,0.00538982405513676,-0.294905955094151,0.0467391304347826,0.050875568933612,-0.0813050072074286,0.154891304347826,0.382925727251435,-1.08937728080132,0.282608695652174,0.294733600689106,-0.0626193847884083,0.476086956521739,0.24431762247196,1.28938720213285,0.0375,0.0264774917784642,0.79953148956152,0.041304347826087,0.170329377099153,-0.891484466149547,0.680978260869565,0.79997191400853,-0.674567736575028
"Type 2 Charters","Lycee Francais de la Nouvelle-Orleans",1020,0.00294117647058824,0.00653735082180155,-0.368028232319285,0.0117647058823529,0.0099214794813934,0.185781405325314,0.208823529411765,0.618272089217278,-1.33604277953339,0.16078431372549,0.0637105968678455,1.18427352430466,0.522549019607843,0.281725545218769,0.883721332860669,0.0931372549019608,0.0206359545097424,2.50211300240409,0.0372549019607843,0.0202850679701498,0.507829655140967,0.491176470588235,0.778077833912321,-1.67386072987027
"Orleans Parish","Morris Jeff Community School",1218,0.000821018062397373,0.00227943349712649,-0.220969989508628,0.00410509031198686,0.0384993285386277,-0.893372417966508,0.501642036124795,0.814083435805066,-1.69237789803949,0.211822660098522,0.0954150822083125,1.16877243955137,0.237274220032841,0.0578899228059716,1.48243920714395,0.0443349753694581,0.0130127704165394,1.5332293482057,0.12807881773399,0.0731600786120128,0.582714939678928,0.708538587848933,0.86478293262987,-0.9702175890229
