"district","school","el","m_el","comp_el","sped","m_sped","comp_sped"
"Denver County 1","Downtown Denver Expeditionary School",0,0.312523502783739,-1.47463365958749,0.0843023255813953,0.122721672088421,-0.664506937072755
"Denver County 1","DSST Middle School @ Noel Campus",0.385113268608414,0.312523502783739,0.342512838468703,0.0614886731391586,0.122721672088421,-1.0590953849804
"Denver County 1","DSST: Byers High School",0.10586011342155,0.312523502783739,-0.975135589622531,0.0888468809073724,0.122721672088421,-0.585903607901853
"Denver County 1","DSST: Byers Middle School",0.217842323651452,0.312523502783739,-0.446750572146626,0.0705394190871369,0.122721672088421,-0.902552288470025
"Denver County 1","DSST: Cole High School",0.345303867403315,0.312523502783739,0.154673260126063,0.171270718232044,0.122721672088421,0.839711782833249
"Denver County 1","DSST: Cole Middle School",0.453757225433526,0.312523502783739,0.666407484343149,0.144508670520231,0.122721672088421,0.376831281950192
"Denver County 1","DSST: College View High School",0.365491651205937,0.312523502783739,0.24992876968824,0.0797773654916512,0.122721672088421,-0.742771344018419
"Denver County 1","DSST: College View Middle School",0.598726114649682,0.312523502783739,1.35043925068068,0.127388535031847,0.122721672088421,0.0807187805682047
"Denver County 1","DSST: Conservatory Green High School",0.246606334841629,0.312523502783739,-0.311028366590978,0.085972850678733,0.122721672088421,-0.635613277584507
"Denver County 1","DSST: Conservatory Green Middle School",0.364406779661017,0.312523502783739,0.244809832769199,0.108050847457627,0.122721672088421,-0.253748843384352
"Denver County 1","DSST: Green Valley Ranch High School",0.27158273381295,0.312523502783739,-0.193177906416524,0.0935251798561151,0.122721672088421,-0.504987028423563
"Denver County 1","DSST: Green Valley Ranch Middle School",0.443983402489627,0.312523502783739,0.62028996624437,0.0995850622406639,0.122721672088421,-0.400174368956769
"Denver County 1","DSST: Henry Middle School",0.381395348837209,0.312523502783739,0.324969935008868,0.186046511627907,0.122721672088421,1.09527618215246
"Denver County 1","DSST: Montview High School",0.209705372616984,0.312523502783739,-0.485144554599027,0.0935875216637782,0.122721672088421,-0.503908754912217
"Denver County 1","DSST: Montview Middle School",0.30168776371308,0.312523502783739,-0.0511281405007095,0.0991561181434599,0.122721672088421,-0.407593452156332
