"school","total","amind","asian","black","hisp","white","mult","frl","ell","swd","ls_dist","ls_cty","district","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_frl","dist_ell","dist_swd","county","cty_total","cty_amind","cty_asian","cty_black","cty_hisp","cty_white","cty_mult","cty_frl","cty_ell","cty_swd"
"ALTURA PREPARATORY SCHOOL",222,0.05,0.261711711711712,0.05,0.333333333333333,0.382882882882883,0.05,0.166666666666667,0.05,0.0540540540540541,0.239310838626403,0.23123206977115,"ALBUQUERQUE",80584,0.0716992206889705,0.0986250459148218,0.0448687022237665,0.663506390846818,0.208571766107416,0.05,0.685222890400079,0.196503587560806,0.219125389655515,"BERNALILLO",90191,0.0826408533002184,0.0984327782151213,0.0450532702819572,0.659196578372565,0.204342952179264,0.05,0.691121635196416,0.200562077147387,0.213348340743533
"THRIVE COMMUNITY SCHOOL",111,0.05,0.1,0.05,0.702702702702703,0.27027027027027,0.05,0.252252252252252,0.18018018018018,0.18018018018018,0.00896994303790965,0.0125297894016422,"SANTA FE",11933,0.041309653900947,0.0917916701583843,0.0448378446325316,0.794435598759742,0.155853448420347,0.05,0.742034643425794,0.295256800469287,0.147490136595994,"SANTA FE COUNTY",16553,0.0445205159185646,0.0894369600676615,0.044221591252341,0.749713042952939,0.193185476952818,0.05,0.656479151815381,0.246236295535552,0.154171437201716
