"district","school","prof_math","dist_math","prof_ela","dist_ela","n_math","n_ela"
"Baltimore City","Baltimore Montessori Public Charter School",0.167315175097276,0.0644321878093622,0.280155642023346,0.224356164383562,257,257
"Baltimore City","City Neighbors Charter School",0.102272727272727,0.0644321878093622,0.291139240506329,0.224356164383562,176,158
"Baltimore City","City Neighbors Hamilton",0.16793893129771,0.0644321878093622,0.388535031847134,0.224356164383562,131,157
"Baltimore City","City Neighbors High",0,0.0644321878093622,0.182795698924731,0.224356164383562,106,93
"Baltimore County","Watershed Public Charter",0.281553398058252,0.156391112710264,0.436893203883495,0.385980622168096,103,103
