"district","school","frpl","m_frpl","comp_frpl"
"Denver County 1","Downtown Denver Expeditionary School",0.287790697674419,0.686876057271509,-1.51491394576643
"Denver County 1","DSST Middle School @ Noel Campus",0.799352750809062,0.686876057271509,0.426957560622522
"Denver County 1","DSST: Byers High School",0.449905482041588,0.686876057271509,-0.899531943528399
"Denver County 1","DSST: Byers Middle School",0.489626556016597,0.686876057271509,-0.748752148032236
"Denver County 1","DSST: Cole High School",0.850828729281768,0.686876057271509,0.622358558892678
"Denver County 1","DSST: Cole Middle School",0.907514450867052,0.686876057271509,0.837535558224542
"Denver County 1","DSST: College View High School",0.87012987012987,0.686876057271509,0.695625008630427
"Denver County 1","DSST: College View Middle School",0.910828025477707,0.686876057271509,0.850113770547557
"Denver County 1","DSST: Conservatory Green High School",0.606334841628959,0.686876057271509,-0.305731613179351
"Denver County 1","DSST: Conservatory Green Middle School",0.692796610169492,0.686876057271509,0.0224742099305694
"Denver County 1","DSST: Green Valley Ranch High School",0.733812949640288,0.686876057271509,0.178170787553289
"Denver County 1","DSST: Green Valley Ranch Middle School",0.775933609958506,0.686876057271509,0.338059328153677
"Denver County 1","DSST: Henry Middle School",0.846511627906977,0.686876057271509,0.605970994376251
"Denver County 1","DSST: Montview High School",0.613518197573657,0.686876057271509,-0.278463847433664
"Denver County 1","DSST: Montview Middle School",0.679324894514768,0.686876057271509,-0.0286639474284096
