"district","id","n_math","p_math","n_ela","p_ela"
"Tulsa","72I001",13718,0.085216503863537,13752,0.114674229203025
"Tulsa Charter: Schl Arts/Sci","72E004",213,0.07981220657277,215,0.209302325581395
