"school","swd","district","dist_code","total","amind","asian","black","hispanic","white","multiple","lep","ed","metro","ls_metro","p_metro","ls_district","p_district"
"Bricolage Academy",0.190899001109878,"Orleans Parish","R36",918,0.00435729847494553,0.00108932461873638,0.600217864923747,0.0708061002178649,0.249455337690632,0.0740740740740741,0.0065359477124183,0.60239651416122,"NOLA metro",0.0968888597073026,0.0032258064516129,0.27622262227973,0.0136986301369863
"Edward Hynes Charter School - Lakeview",0.0830985915492958,"Orleans Parish","R36",703,0,0.0512091038406828,0.327169274537696,0.0455192034139403,0.510668563300142,0.0654338549075391,0.0256045519203414,0.327169274537696,"NOLA metro",0.203731246240925,0.0032258064516129,0.942219354694634,0.0136986301369863
"Edward Hynes Charter School - UNO",0.16030534351145,"Orleans Parish","R36",391,0.00255754475703325,0.0230179028132992,0.672634271099744,0.0281329923273657,0.214833759590793,0.0588235294117647,0.0281329923273657,0.49616368286445,"NOLA metro",0.148899533149352,0.0032258064516129,0.22546503559381,0.0136986301369863
"Homer Plessy Community School",0.126344086021505,"Orleans Parish","R36",736,0.0108695652173913,0.0190217391304348,0.455163043478261,0.115489130434783,0.316576086956522,0.0828804347826087,0.0638586956521739,0.630434782608696,"NOLA metro",0.051880840017019,0.0032258064516129,0.436483675950408,0.0136986301369863
"International High School of New Orleans",0.0569948186528497,"Type 2 Charters","CHA",379,0.00263852242744063,0.0263852242744063,0.538258575197889,0.337730870712401,0.0712401055408971,0.0237467018469657,0.24802110817942,0.773087071240106,"NOLA metro",0.177461460548056,0.0032258064516129,0.332055550281284,0.0238095238095238
"International School of Louisiana",0.0939420544337138,"Type 2 Charters","CHA",1139,0.00263388937664618,0.0131694468832309,0.349429323968393,0.334503950834065,0.246707638279192,0.0535557506584723,0.0465320456540825,0.598770851624232,"NOLA metro",0.0906946142201881,0.0032258064516129,0.290694719346163,0.0238095238095238
"Kenner Discovery Health Sciences Academy",0.144973070017953,"Jefferson Parish","026",2221,0.00225123818099955,0.0612336785231878,0.158487167942368,0.353444394416929,0.384961728950923,0.0396217919855921,0.0634849167041873,0.696983340837461,"NOLA metro",0.259913832958678,0.0032258064516129,0.131190734545227,0.0120481927710843
"Lycee Francais de la Nouvelle-Orleans",0.080563947633434,"Type 2 Charters","CHA",988,0.00303643724696356,0.0151821862348178,0.242914979757085,0.197368421052632,0.442307692307692,0.0991902834008097,0.105263157894737,0.507085020242915,"NOLA metro",0.164864677063706,0.0032258064516129,0.305012524169743,0.0238095238095238
"Morris Jeff Community School",0.134180790960452,"Orleans Parish","R36",1435,0.000696864111498258,0.00627177700348432,0.459233449477352,0.280836236933798,0.209059233449477,0.0439024390243902,0.180487804878049,0.742160278745645,"NOLA metro",0.0511960048657924,0.0032258064516129,0.28117676526574,0.0136986301369863
