"school","subject","n_tested","p_prof","mean_ela","comp_ela"
"City Neighbors Charter School","ela",156,0.256410256410256,0.19609920206616,0.43188619669409
"Baltimore Montessori Public Charter School","ela",215,0.348837209302326,0.19609920206616,1.09375367009015
"City Neighbors Hamilton","ela",160,0.24375,0.19609920206616,0.341226365761574
"City Neighbors High","ela",244,0.118852459016393,0.19609920206616,-0.553162308727486
