"school","total","amind","asian","black","hisp","white","mult","p_frpl","el","sped","ls_cty","district","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","d_frpl","d_el","dist_sped","county","cty_total","cty_amind","cty_asian","cty_black","cty_hisp","cty_white","cty_mult","cty_frpl","cty_el","cty_sped"
"Memphis Street Academy CS @ JP Jones",535,0,0,0.330841121495327,0.568224299065421,0.0654205607476635,0.0355140186915888,1,0.213084112149533,0.22,0.286314179422424,"Philadelphia City SD",118401,0.00193410528627292,0.0996613204280369,0.452023209263435,0.260031587571051,0.143427842670248,0.0429219347809562,1,0.150201434109509,0.176,"Philadelphia",183928,0.00183767561219608,0.076600626332043,0.500619807750859,0.246357270236179,0.13429167935279,0.0402929407159323,0.9723515398659,0.117013179070071,0.186
"Philadelphia Hebrew Public CS",415,0,0.0240963855421687,0.734939759036145,0.0891566265060241,0.0746987951807229,0.0771084337349398,1,0.0578313253012048,0.191,0.17016855108509,"Philadelphia City SD",118401,0.00193410528627292,0.0996613204280369,0.452023209263435,0.260031587571051,0.143427842670248,0.0429219347809562,1,0.150201434109509,0.176,"Philadelphia",183928,0.00183767561219608,0.076600626332043,0.500619807750859,0.246357270236179,0.13429167935279,0.0402929407159323,0.9723515398659,0.117013179070071,0.186
"Vida CS",230,0,0,0,0.626086956521739,0.373913043478261,0,0.4875,0.204347826086957,0.093,0.60374085620897,"Gettysburg Area SD",2850,0,0.0207017543859649,0.0428070175438596,0.152280701754386,0.74140350877193,0.0428070175438596,0.407407862573099,0.0368421052631579,0.151,"Adams",14647,0,0.00648596982317198,0.0250563255274118,0.153683348125896,0.781525227008944,0.0332491295145764,0.42387202882122,0.0355704239776063,0.186
