"school","total","amind","m_amind","comp_amind","asian","m_asian","comp_asian","black","m_black","comp_black","hispanic","m_hispanic","comp_hispanic","white","m_white","comp_white","multiple","m_multiple","comp_multiple","frpl","lep","m_lep","comp_lep","iep","m_iep","comp_iep"
"ACADEMIE LAFAYETTE-OAK",461,0,0,NA,0,0.0337222105106827,-0.693885925973833,0.23644251626898,0.585438084245134,-1.32993606377233,0.0281995661605206,0.247995042626837,-0.990470781352849,0.622559652928417,0.102225650047657,4.63364052154102,0.0997830802603037,0.0187850502346933,5.40585699396637,0.219088937093275,0.017353579175705,0.218885003843865,-0.860197364563689,0.06941431670282,0.118914039146787,-0.794628689699725
"ACADEMIE LAFAYETTE - ARMOUR",273,0,0.000543157016467871,-0.314767828549007,0.021978021978022,0.0300709789567159,-0.344906104469305,0.157509157509158,0.143655527170099,0.209779231516727,0.0659340659340659,0.146564114681883,-2.23519888877615,0.684981684981685,0.560644243516351,1.06211788134326,0.0659340659340659,0.103175823131936,-2.09348085566553,0.197802197802198,0,0.0821085587559769,-1.11374329189452,0.0586080586080586,0.10869390583097,-1.23452150761702
"ACADEMIE LAFAYETTE-CHERRY",340,0,0.000543157016467871,-0.314767828549007,0.0264705882352941,0.0300709789567159,-0.153441658167993,0.176470588235294,0.143655527170099,0.496903564188723,0.0529411764705882,0.146564114681883,-2.5953833676618,0.585294117647059,0.560644243516351,0.210564668039957,0.155882352941176,0.103175823131936,2.96280625368887,0.226470588235294,0.0176470588235294,0.0821085587559769,-0.874373685556825,0.0529411764705882,0.10869390583097,-1.37419944595162
"CITIZENS OF THE WORLD CHARTER",290,0,0.000543157016467871,-0.314767828549007,0,0.0300709789567159,-1.28156670508004,0.458620689655172,0.143655527170099,4.76937438949679,0.0758620689655172,0.146564114681883,-1.95997815297984,0.344827586206897,0.560644243516351,-1.84355354363642,0.106896551724138,0.103175823131936,0.209154311261894,0.644827586206897,0.0517241379310345,0.0821085587559769,-0.412142721594374,0.1,0.10869390583097,-0.214288353469647
"CITY GARDEN MONTESSORI SCHOOL",227,0,0,NA,0,0.0200343419581524,-0.568332757399212,0.418502202643172,0.816602914325666,-1.76267616344417,0.052863436123348,0.0387893274955304,0.244480044022339,0.480176211453745,0.11431992317632,2.17121540511786,0.0308370044052863,0,Inf,0.374449339207048,0,0.0774042936709396,-0.570400157526523,0.13215859030837,0.143455930078109,-0.0995126703753518
"Kairos Academies",117,0.01,0,Inf,0.03,0.0200343419581524,0.282705063438141,0.56,0.816602914325666,-1.13616436062264,0.03,0.0387893274955304,-0.152678597974358,0.21,0.11431992317632,0.567824206987271,0.15,0,Inf,0.68,0.01,0.0774042936709396,-0.496709134654923,0.15,0.143455930078109,0.0576434706155123
