"school","total","amind","asian","black","hisp","white","mult","ecdis","ell","swd","ls_dist","ls_cty","district","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_ecdis","dist_ell","dist_swd","county","cty_total","cty_amind","cty_asian","cty_black","cty_hisp","cty_white","cty_mult","cty_ecdis","cty_ell","cty_swd"
"Baltimore Montessori Public Charter School",550,0.00181818181818182,0.00909090909090909,0.703636363636364,0.0381818181818182,0.229090909090909,0.0254545454545455,0.489,0,0.146,0.161212075926442,0.128631646875975,"Baltimore City",75995,0.00218435423383117,0.00984275281268505,0.727113625896441,0.171853411408645,0.072070530955984,0.016935324692414,0.621,0.116,0.144,"Baltimore County + City",187078,0.00339965148226943,0.0472049091822662,0.533825463175788,0.160644223265162,0.21633757042517,0.0385881824693443,180717.348,39660.536,52007.684
"City Neighbors Charter School",232,0.00431034482758621,0.00862068965517241,0.650862068965517,0.172413793103448,0.318965517241379,0.0172413793103448,0.377,0,0.182,0.142569381685887,0.0482711750808635,"Baltimore City",75995,0.00218435423383117,0.00984275281268505,0.727113625896441,0.171853411408645,0.072070530955984,0.016935324692414,0.621,0.116,0.144,"Baltimore County + City",187078,0.00339965148226943,0.0472049091822662,0.533825463175788,0.160644223265162,0.21633757042517,0.0385881824693443,180717.348,39660.536,52007.684
"City Neighbors Hamilton",235,0.00425531914893617,0.00851063829787234,0.48936170212766,0.0425531914893617,0.370212765957447,0.0808510638297872,0.31,0,0.258,0.408797841968942,0.150969713507014,"Baltimore City",75995,0.00218435423383117,0.00984275281268505,0.727113625896441,0.171853411408645,0.072070530955984,0.016935324692414,0.621,0.116,0.144,"Baltimore County + City",187078,0.00339965148226943,0.0472049091822662,0.533825463175788,0.160644223265162,0.21633757042517,0.0385881824693443,180717.348,39660.536,52007.684
"City Neighbors High",425,0.00235294117647059,0.00941176470588235,0.856470588235294,0.0470588235294118,0.0705882352941176,0.0164705882352941,0.576,0,0.337,0.0928462864556063,0.254012151847206,"Baltimore City",75995,0.00218435423383117,0.00984275281268505,0.727113625896441,0.171853411408645,0.072070530955984,0.016935324692414,0.621,0.116,0.144,"Baltimore County + City",187078,0.00339965148226943,0.0472049091822662,0.533825463175788,0.160644223265162,0.21633757042517,0.0385881824693443,180717.348,39660.536,52007.684
"Watershed Public Charter",287,0.00348432055749129,0.0731707317073171,0.51219512195122,0.101045296167247,0.233449477351916,0.142857142857143,0.25,0,0.091,0.0807566700073192,0.0893731195132782,"Baltimore County",111083,0.00423107046082659,0.0727654096486411,0.401591602675477,0.152975702852822,0.315034703780056,0.0534015105821773,0.345,0.096,0.134,"Baltimore County + City",187078,0.00339965148226943,0.0472049091822662,0.533825463175788,0.160644223265162,0.21633757042517,0.0385881824693443,180717.348,39660.536,52007.684
