"district","school","total","amind","m_amind","comp_amind","asian","m_asian","comp_asian","black","m_black","comp_black","hispanic","m_hispanic","comp_hispanic","white","m_white","comp_white","multiple","m_multiple","comp_multiple","econd","m_econ","comp_econ","ell","m_ell","comp_ell","swd","m_swd","comp_swd"
"BOCES ERIE 1","ELMWOOD VILLAGE CHARTER SCHOOL",449,0.0066815144766147,0.00673932702831642,-0.00325054623631251,0.0111358574610245,0.0587039046607221,-0.686143490378483,0.249443207126949,0.26253466453035,-0.0479161312336982,0.178173719376392,0.112348573249108,0.504250628447885,0.4543429844098,0.516880777960177,-0.185640597276212,0.10022271714922,0.0427927525713265,2.25044938238827,0.534521158129176,0.593323436291201,-0.207835064938542,0.0155902004454343,0.0862291108605964,-0.482336204561995,0.146993318485523,0.183489848288446,-0.287484135627758
"BOCES ERIE 1","ELMWOOD VILLAGE CHARTER - HERTEL",201,0.00497512437810945,0.00673932702831642,-0.0991933778379243,0.0597014925373134,0.0587039046607221,0.0143896684412977,0.368159203980099,0.26253466453035,0.38659708677341,0.159203980099502,0.112348573249108,0.358933777447396,0.283582089552239,0.516880777960177,-0.692536551116374,0.124378109452736,0.0427927525713265,3.19700207644509,0.651741293532338,0.593323436291201,0.206476339570176,0.0497512437810945,0.0862291108605964,-0.249077963607255,0.213930348258706,0.183489848288446,0.239780627618093
"BOCES MONROE 1","GENESEE COMMUNITY CHARTER SCHOOL",221,0.00452488687782805,0.00167609547753581,1.27892226100566,0.0271493212669683,0.0433720760715829,-0.320789446494689,0.257918552036199,0.313948469038258,-0.195513625149317,0.0769230769230769,0.169803358258221,-0.637727340648308,0.583710407239819,0.441656854633694,0.417807308065555,0.0497737556561086,0.0295431465207079,0.736385560607502,0.357466063348416,0.562624333445529,-0.618881216559185,0.00904977375565611,0.0742808550902008,-0.691717283214684,0.0995475113122172,0.149623316230359,-0.636110143778439
