"school_name","item_desc","n_tested","c_lev34","p_lev34","m_lev34","sds"
"COMMUNITY ROOTS CHARTER SCHOOL","Grade 6 Math",51,22,0.43,0.45456322541234,-0.108386406429088
"COMMUNITY ROOTS CHARTER SCHOOL","Grade 7 ELA",45,32,0.71,0.376252587991718,1.67735226218578
"COMMUNITY ROOTS CHARTER SCHOOL","Grade 7 Math",44,27,0.61,0.411087257617729,0.86859605813979
"COMMUNITY ROOTS CHARTER SCHOOL","Grade 8 ELA",34,17,0.5,0.46215331010453,0.188341064582456
"COMMUNITY ROOTS CHARTER SCHOOL","Grade 8 Math",30,14,0.47,0.299483163664839,0.768290120510929
"COMPASS CHARTER SCHOOL","Grade 3 ELA",44,22,0.5,0.521283618581907,-0.103585393778594
"COMPASS CHARTER SCHOOL","Grade 3 Math",44,22,0.5,0.545986145069275,-0.215591141063462
"COMPASS CHARTER SCHOOL","Grade 4 ELA",41,21,0.51,0.474522425249169,0.171598758839156
"COMPASS CHARTER SCHOOL","Grade 4 Math",40,22,0.55,0.500103993344426,0.222072589409775
"COMPASS CHARTER SCHOOL","Grade 5 ELA",30,13,0.43,0.371087236785561,0.314638975554271
"COMPASS CHARTER SCHOOL","Grade 5 Math",29,13,0.45,0.457409793814433,-0.0329781480059817
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 3 ELA",52,34,0.65,0.521283618581907,0.626450666912591
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 3 Math",52,26,0.5,0.545986145069275,-0.215591141063462
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 4 ELA",51,33,0.65,0.474522425249169,0.848754015538865
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 4 Math",49,33,0.67,0.500103993344426,0.756157629784363
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 5 ELA",47,23,0.49,0.371087236785561,0.635084622697661
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 5 Math",48,23,0.48,0.457409793814433,0.100540336442585
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 6 ELA",48,13,0.27,0.452651191203421,-0.909106831238989
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 6 Math",48,22,0.46,0.45456322541234,0.0239900277846032
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 7 ELA",49,21,0.43,0.376252587991718,0.270124471007089
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 7 Math",49,21,0.43,0.411087257617729,0.0825866321338219
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 8 ELA",38,18,0.47,0.46215331010453,0.0390484328337038
"ELMWOOD VILLAGE CHARTER SCHOOL","Grade 8 Math",39,25,0.64,0.299483163664839,1.53425155454867
"ELMWOOD VILLAGE CHARTER - HERTEL","Grade 3 ELA",50,26,0.52,0.521283618581907,-0.00624725235310292
"ELMWOOD VILLAGE CHARTER - HERTEL","Grade 3 Math",50,22,0.44,0.545986145069275,-0.49688170030302
"GENESEE COMMUNITY CHARTER SCHOOL","Grade 3 ELA",25,17,0.68,0.521283618581907,0.772457879050828
"GENESEE COMMUNITY CHARTER SCHOOL","Grade 3 Math",27,22,0.81,0.545986145069275,1.23774341500759
"GENESEE COMMUNITY CHARTER SCHOOL","Grade 4 ELA",22,14,0.64,0.474522425249169,0.800385782917458
"GENESEE COMMUNITY CHARTER SCHOOL","Grade 4 Math",22,16,0.73,0.500103993344426,1.02320014997166
"GENESEE COMMUNITY CHARTER SCHOOL","Grade 5 ELA",31,19,0.61,0.371087236785561,1.27597591698444
"GENESEE COMMUNITY CHARTER SCHOOL","Grade 5 Math",31,19,0.61,0.457409793814433,0.679120435719706
"GENESEE COMMUNITY CHARTER SCHOOL","Grade 6 ELA",27,14,0.52,0.452651191203421,0.335214140950162
"GENESEE COMMUNITY CHARTER SCHOOL","Grade 6 Math",27,15,0.56,0.45456322541234,0.465244808496907
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 3 ELA",72,26,0.36,0.521283618581907,-0.784952383757034
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 3 Math",70,30,0.43,0.545986145069275,-0.543763460176279
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 4 ELA",90,31,0.34,0.474522425249169,-0.650661195724777
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 4 Math",90,34,0.38,0.500103993344426,-0.534547884454225
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 5 ELA",76,30,0.39,0.371087236785561,0.101008544125344
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 5 Math",76,32,0.42,0.457409793814433,-0.166496632454548
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 6 ELA",42,23,0.55,0.452651191203421,0.484532657612861
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 6 Math",41,13,0.32,0.45456322541234,-0.593766665212623
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 3 ELA",79,54,0.68,0.521283618581907,0.772457879050828
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 3 Math",78,58,0.74,0.545986145069275,0.909571095894769
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 4 ELA",82,40,0.49,0.474522425249169,0.0748622935963401
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 4 Math",84,52,0.62,0.500103993344426,0.533622196294951
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 5 ELA",72,16,0.22,0.371087236785561,-0.806920789447594
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 5 Math",71,30,0.42,0.457409793814433,-0.166496632454548
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 6 ELA",76,35,0.46,0.452651191203421,0.0365771076247661
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 6 Math",76,30,0.39,0.45456322541234,-0.28488831871401
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 7 ELA",55,20,0.36,0.376252587991718,-0.0816824767875827
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 7 Math",56,22,0.39,0.411087257617729,-0.0920821292008376
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 8 ELA",63,31,0.49,0.46215331010453,0.138576853999539
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Grade 8 Math",40,6,0.15,0.299483163664839,-0.673519637677755
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 3 ELA",56,46,0.82,0.521283618581907,1.45382486902927
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 3 Math",56,54,0.96,0.545986145069275,1.94096981310648
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 4 ELA",56,44,0.79,0.474522425249169,1.52590927223857
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 4 Math",56,51,0.91,0.500103993344426,1.82432771053354
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 5 ELA",57,23,0.4,0.371087236785561,0.154416151982576
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 5 Math",57,40,0.7,0.457409793814433,1.07967588906541
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 6 ELA",50,36,0.72,0.452651191203421,1.33067091870148
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 6 Math",50,41,0.82,0.45456322541234,1.6125072383489
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 7 ELA",50,29,0.58,0.376252587991718,1.02399650199567
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 7 Math",50,41,0.82,0.411087257617729,1.78560705514675
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 8 ELA",48,34,0.71,0.46215331010453,1.23338948682372
"HELLENIC CLASSICAL CHARTER SCHOOL","Grade 8 Math",48,47,0.98,0.299483163664839,3.06617442262415
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","Grade 3 ELA",56,28,0.5,0.521283618581907,-0.103585393778594
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","Grade 3 Math",54,30,0.56,0.545986145069275,0.0656994181760963
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","Grade 4 ELA",40,19,0.48,0.474522425249169,0.0264940609749322
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","Grade 4 Math",40,20,0.5,0.500103993344426,-0.000462844079637126
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","Grade 3 ELA",47,30,0.64,0.521283618581907,0.577781596199845
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","Grade 3 Math",48,26,0.54,0.545986145069275,-0.0280641015704231
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","Grade 4 ELA",41,17,0.41,0.474522425249169,-0.312083567374923
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","Grade 4 Math",40,18,0.45,0.500103993344426,-0.222998277569049
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","Grade 5 ELA",42,21,0.5,0.371087236785561,0.688492230554893
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","Grade 5 Math",41,24,0.59,0.457409793814433,0.590108112753995
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","Grade 6 ELA",16,5,0.31,0.452651191203421,-0.710015475688725
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","Grade 6 Math",16,4,0.25,0.45456322541234,-0.902645011711235
