SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82150","Taylor School District","03942","Hoover Middle School","82","Wayne","LEA School","Middle School","City: Small","Wayne Region","         3","583","325","258","2","4","193","48","0","292","44","0","0","0","0","0","0","0","173","204","206","0","0","0","0","543","187","22"
"20 - 21 School Year","82","Wayne RESA","82150","Taylor School District","02049","Kinyon Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","403","227","176","0","3","101","56","0","207","36","0","62","91","80","57","63","50","0","0","0","0","0","0","0","350","73","28"
"20 - 21 School Year","82","Wayne RESA","82150","Taylor School District","06403","Myers Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","288","144","144","1","5","214","10","0","43","15","0","41","59","59","63","43","23","0","0","0","0","0","0","0","279","58","<10"
"20 - 21 School Year","82","Wayne RESA","82150","Taylor School District","03233","Robert J. West Middle School","82","Wayne","LEA School","Middle School","City: Small","Wayne Region","         3","722","373","349","2","11","174","92","0","382","61","0","0","0","0","0","0","0","235","256","231","0","0","0","0","618","168","37"
"20 - 21 School Year","82","Wayne RESA","82150","Taylor School District","06428","Taylor High School","82","Wayne","LEA School","High School","City: Small","Wayne Region","         3","1500","795","705","6","27","425","157","0","801","84","0","0","0","0","0","0","0","0","0","0","526","377","302","295","1212","349","67"
"20 - 21 School Year","82","Wayne RESA","82150","Taylor School District","04141","Taylor Parks Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","364","179","185","0","1","76","32","0","225","30","0","48","69","67","52","69","59","0","0","0","0","0","0","0","325","108","24"
"20 - 21 School Year","82","Wayne RESA","82150","Taylor School District","01381","Taylor Virtual Learning Academy","82","Wayne","LEA School","Middle_High School","City: Small","Wayne Region","         3","240","115","125","1","0","58","20","0","145","16","0","0","0","0","0","0","0","0","1","10","63","65","63","38","187","21","14"
"20 - 21 School Year","82","Wayne RESA","82928","The Dearborn Academy","08479","The Dearborn Academy","82","Wayne","PSA School","Elem_Middle School","City: Small","Wayne Region","         3","490","230","260","0","1","63","155","0","271","0","0","43","46","63","59","42","55","62","58","62","0","0","0","0","479","42","322"
"20 - 21 School Year","82","Wayne RESA","82706","The James and Grace Lee Boggs School","02073","The James and Grace Lee Boggs School","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","155","84","71","0","1","90","7","0","32","25","0","18","18","17","13","15","19","21","16","18","0","0","0","0","99","22","<10"
"20 - 21 School Year","82","Wayne RESA","82754","Tipton Academy","02870","Tipton Academy - 4-8","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","203","96","107","0","2","75","18","0","92","16","0","0","0","0","0","39","42","45","48","29","0","0","0","0","136","28","<10"
