FIPSCode,LocationType,Location,ParentCounty,TimeFrame,DataFormat,Data
06606060,School District,Brisbane Elementary,San Mateo County,2014,Percent,10.2
06606060,School District,Brisbane Elementary,San Mateo County,2015,Number,52
06606060,School District,Brisbane Elementary,San Mateo County,2015,Percent,11.4
06606060,School District,Brisbane Elementary,San Mateo County,2016,Number,50
06606060,School District,Brisbane Elementary,San Mateo County,2016,Percent,11.4
06606060,School District,Brisbane Elementary,San Mateo County,2017,Number,50
06606060,School District,Brisbane Elementary,San Mateo County,2017,Percent,10.8
06606060,School District,Brisbane Elementary,San Mateo County,2018,Number,55
06606060,School District,Brisbane Elementary,San Mateo County,2018,Percent,11.7
06606060,School District,Brisbane Elementary,San Mateo County,2019,Number,59
06606060,School District,Brisbane Elementary,San Mateo County,2019,Percent,12.6
06606480,School District,Burlingame Elementary,San Mateo County,2019,Number,279
06606480,School District,Burlingame Elementary,San Mateo County,2019,Percent,7.9
06606480,School District,Burlingame Elementary,San Mateo County,2018,Number,292
06606480,School District,Burlingame Elementary,San Mateo County,2018,Percent,8.3
06606480,School District,Burlingame Elementary,San Mateo County,2017,Number,296
06606480,School District,Burlingame Elementary,San Mateo County,2017,Percent,8.7
06606480,School District,Burlingame Elementary,San Mateo County,2016,Number,284
06606480,School District,Burlingame Elementary,San Mateo County,2016,Percent,8.5
06606480,School District,Burlingame Elementary,San Mateo County,2014,Number,303
06606480,School District,Burlingame Elementary,San Mateo County,2014,Percent,9.4
06606480,School District,Burlingame Elementary,San Mateo County,2015,Number,292
06606480,School District,Burlingame Elementary,San Mateo County,2015,Percent,8.8
06606480,School District,Burlingame Elementary,San Mateo County,2013,Number,324
06606480,School District,Burlingame Elementary,San Mateo County,2013,Percent,10.7
06606480,School District,Burlingame Elementary,San Mateo County,2012,Number,287
06606480,School District,Burlingame Elementary,San Mateo County,2012,Percent,9.9
06606480,School District,Burlingame Elementary,San Mateo County,2011,Number,275
06606480,School District,Burlingame Elementary,San Mateo County,2011,Percent,9.9
06606780,School District,Cabrillo Unified,San Mateo County,2011,Number,382
06606780,School District,Cabrillo Unified,San Mateo County,2011,Percent,11.4
06606780,School District,Cabrillo Unified,San Mateo County,2012,Number,360
06606780,School District,Cabrillo Unified,San Mateo County,2012,Percent,10.9
06606780,School District,Cabrillo Unified,San Mateo County,2013,Number,351
06606780,School District,Cabrillo Unified,San Mateo County,2013,Percent,10.6
