SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","49001","24776","24225","75","727","40012","6788","36","1219","144","0","3145","3933","4186","3962","4068","3872","3552","3345","3462","4058","3964","3418","3378","40620","7141","5600"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00005","A.L. Holmes Academy of Blended Learning","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","414","209","205","0","1","412","0","0","1","0","0","31","43","53","48","57","43","59","40","40","0","0","0","0","376","69","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03645","Academy of the Americas at Logan","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","404","193","211","0","0","23","369","0","12","0","0","103","96","107","98","0","0","0","0","0","0","0","0","0","305","36","266"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03276","Academy of The Americas High School","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","706","353","353","1","0","17","680","0","8","0","0","0","0","0","0","107","89","80","98","114","66","58","53","41","521","63","547"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00103","Ann Arbor Trail Magnet School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","208","110","98","0","0","198","2","0","8","0","0","17","32","22","23","28","21","28","18","19","0","0","0","0","193","18","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00168","Bagley Elementary School of Journalism and Technology","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","354","185","169","1","0","351","1","0","0","1","0","41","55","59","52","57","44","46","0","0","0","0","0","0","311","43","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03640","Barton Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","149","76","73","0","0","144","0","0","5","0","0","16","25","26","23","30","29","0","0","0","0","0","0","0","137","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02882","Bates Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","787","348","439","1","0","785","1","0","0","0","0","71","75","78","78","83","89","107","105","101","0","0","0","0","431","44","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00865","Benjamin Carson High School of Science and Medicine","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","305","125","180","1","40","224","3","5","29","3","0","0","0","0","0","0","0","0","0","0","51","86","72","96","258","27","56"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00277","Bennett Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","467","238","229","2","0","32","381","0","50","2","0","67","79","81","73","91","76","0","0","0","0","0","0","0","393","30","261"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02058","Blackwell Institute","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","351","174","177","0","0","351","0","0","0","0","0","37","46","45","42","49","32","42","29","29","0","0","0","0","304","23","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04319","Bow Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","497","240","257","0","0","490","4","0","2","1","0","34","43","75","48","77","56","52","41","71","0","0","0","0","457","61","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02461","Breithaupt Career and Technical Center","82","Wayne","LEA Unique Education Provider","High School","City: Large","Wayne Region","         3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09341","Brenda Scott Academy for Theatre Arts","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","726","373","353","0","1","715","2","0","5","3","0","58","83","85","93","68","86","77","82","94","0","0","0","0","657","78","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09991","Brewer Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","505","260","245","0","0","504","0","0","1","0","0","36","53","57","48","51","53","84","69","54","0","0","0","0","455","63","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00446","Bunche Preparatory Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","464","231","233","11","0","408","5","0","9","31","0","40","55","45","57","60","50","48","52","57","0","0","0","0","425","95","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00456","Burns Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","377","190","187","1","0","372","0","0","3","1","0","20","35","45","36","39","37","70","39","56","0","0","0","0","335","26","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00468","Burton International Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","567","285","282","0","1","544","21","0","1","0","0","59","46","71","55","72","67","55","70","72","0","0","0","0","471","66","17"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","05553","Carleton Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","387","205","182","0","0","386","0","0","1","0","0","71","71","67","60","64","54","0","0","0","0","0","0","0","362","48","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00542","Carstens Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","283","161","122","0","0","282","1","0","0","0","0","29","33","39","27","36","29","21","38","31","0","0","0","0","259","33","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00546","Carver STEM Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","379","217","162","0","0","320","32","2","25","0","0","44","41","46","39","38","45","35","45","46","0","0","0","0","352","31","24"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00554","Cass Technical High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","2465","878","1587","8","229","1896","260","5","62","5","0","0","0","0","0","0","0","0","0","0","655","701","582","527","1537","35","200"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00617","Central High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","310","179","131","1","1","303","2","0","3","0","0","0","0","0","0","0","0","0","0","0","112","66","66","66","279","66","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00859","Charles R. Drew Transition Center","82","Wayne","LEA School","Other","City: Large","Wayne Region","         3","491","316","175","0","3","460","16","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","294","491","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09125","Charles Wright Academy of Arts and Science","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","557","285","272","0","0","549","1","0","0","7","0","73","67","92","81","109","72","63","0","0","0","0","0","0","502","68","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00689","Chrysler Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","124","52","72","0","0","119","3","0","0","2","0","15","23","21","24","24","17","0","0","0","0","0","0","0","62","13","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07500","Clippert Academy","82","Wayne","LEA School","Middle School","City: Large","Wayne Region","         3","427","202","225","0","0","6","406","0","15","0","0","0","0","0","0","0","0","122","155","150","0","0","0","0","359","21","272"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","598","355","243","1","0","581","4","0","12","0","0","0","0","0","0","0","0","0","0","0","230","123","131","114","525","156","12"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03717","Coleman A. Young Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","438","234","204","1","0","437","0","0","0","0","0","72","75","77","77","71","66","0","0","0","0","0","0","0","395","50","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","492","239","253","2","0","488","1","0","1","0","0","0","0","0","0","0","0","0","0","0","105","111","114","162","390","24","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00781","Cooke STEM Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","365","205","160","0","0","359","2","0","3","1","0","47","55","53","64","50","54","42","0","0","0","0","0","0","292","49","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","143","79","64","1","0","139","1","0","2","0","0","0","0","0","0","0","0","0","0","0","23","38","47","35","111","14","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00880","Davison Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","825","418","407","0","375","416","2","0","25","7","0","57","70","96","106","86","94","96","115","105","0","0","0","0","727","72","350"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00902","Denby High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","582","317","265","1","0","581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","134","136","122","506","143","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Detroit Collegiate Preparatory High School at Northwestern","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","434","228","206","0","0","430","2","0","2","0","0","0","0","0","0","0","0","0","0","0","124","116","115","79","389","123","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00039","Detroit International Academy for Young Women","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","200","0","200","0","26","143","1","5","22","3","0","17","15","10","10","12","14","10","11","14","18","21","22","26","165","10","44"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","08925","Detroit Lions Academy","82","Wayne","LEA School","Middle School","City: Large","Wayne Region","         3","93","60","33","0","0","93","0","0","0","0","0","0","0","0","0","0","0","18","23","52","0","0","0","0","86","16","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","445","134","311","2","0","432","7","0","4","0","0","0","0","0","0","0","0","0","0","0","99","136","100","110","320","54","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09475","Diann Banks-Williamson Educational Center","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","49","30","19","0","2","45","1","0","1","0","0","0","0","0","0","0","0","0","0","0","11","12","7","19","34","48","<10"
