SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01493","Greenfield Union Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","231","129","102","1","0","225","0","0","5","0","0","25","27","29","23","28","21","28","24","26","0","0","0","0","212","60","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09994","Hamilton Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","230","115","115","0","0","230","0","0","0","0","0","16","26","44","20","30","24","20","24","26","0","0","0","0","210","20","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01574","Harms Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","321","176","145","1","0","33","264","0","21","2","0","36","43","57","69","54","62","0","0","0","0","0","0","0","284","35","224"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00004","Henderson Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","604","324","280","1","0","592","2","0","8","1","0","29","57","65","77","78","58","88","66","86","0","0","0","0","556","89","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01634","Henry Ford High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","747","429","318","0","0","739","5","1","1","1","0","0","0","0","0","0","0","0","0","0","263","189","127","168","614","151","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01803","Hutchinson Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","304","145","159","0","1","301","0","0","2","0","0","34","37","30","37","39","28","42","29","28","0","0","0","0","263","53","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09992","J. E. Clark Preparatory Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","352","180","172","0","0","347","1","0","4","0","0","34","41","40","38","29","48","35","46","41","0","0","0","0","325","25","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09592","Jerry L. White Center","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","180","110","70","0","0","158","11","0","11","0","0","0","0","0","0","0","0","0","0","0","24","34","31","91","146","180","14"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02036","John R. King Academic and Performing Arts Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","784","420","364","1","0","776","3","0","1","3","0","43","69","79","79","73","86","125","106","124","0","0","0","0","704","118","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09594","Keidan Special Education Center","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","89","51","38","1","1","65","13","0","8","1","0","3","4","6","11","15","11","14","15","10","0","0","0","0","74","87","<10"
