Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2021 Data Report
 
System ID, System Name,KK-12 % FRL
743,Twiggs County,91.26
744,Union County,47.97
792,Valdosta City,94.66
793,Vidalia City,71.67
746,Walker County,72.71
747,Walton County,41.78
748,Ware County,81.16
749,Warren County,*
750,Washington County,85.62
751,Wayne County,72.4
752,Webster County,90.6
753,Wheeler County,89.52
754,White County,52.71
755,Whitfield County,60.46
756,Wilcox County,87.85
757,Wilkes County,94.17
758,Wilkinson County,89.21
759,Worth County,*
 ,State-Wide Total,56.18
 
Notice: 
-"*" indicates Free and Reduced Lunch (FRL) percentage is either greater than 95% or less than 5%.
-"NA" indicates school does not participate in the FRL program.
